新华社北京9月26日电 近日，中共中央、国务院印发了《乡村振兴战略规划（2018－2022年）》，并发出通知，要求各地区各部门结合实际认真贯彻落实。
乡村是具有自然、社会、经济特征的地域综合体，兼具生产、生活、生态、文化等多重功能，与城镇互促互进、共生共存，共同构成人类活动的主要空间。乡村兴则国家兴，乡村衰则国家衰。我国人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾在乡村最为突出，我国仍处于并将长期处于社会主义初级阶段的特征很大程度上表现在乡村。全面建成小康社会和全面建设社会主义现代化强国，最艰巨最繁重的任务在农村，最广泛最深厚的基础在农村，最大的潜力和后劲也在农村。实施乡村振兴战略，是解决新时代我国社会主要矛盾、实现“两个一百年”奋斗目标和中华民族伟大复兴中国梦的必然要求，具有重大现实意义和深远历史意义。
实施乡村振兴战略是建设现代化经济体系的重要基础。农业是国民经济的基础，农村经济是现代化经济体系的重要组成部分。乡村振兴，产业兴旺是重点。实施乡村振兴战略，深化农业供给侧结构性改革，构建现代农业产业体系、生产体系、经营体系，实现农村一二三产业深度融合发展，有利于推动农业从增产导向转向提质导向，增强我国农业创新力和竞争力，为建设现代化经济体系奠定坚实基础。
实施乡村振兴战略是建设美丽中国的关键举措。农业是生态产品的重要供给者，乡村是生态涵养的主体区，生态是乡村最大的发展优势。乡村振兴，生态宜居是关键。实施乡村振兴战略，统筹山水林田湖草系统治理，加快推行乡村绿色发展方式，加强农村人居环境整治，有利于构建人与自然和谐共生的乡村发展新格局，实现百姓富、生态美的统一。
实施乡村振兴战略是传承中华优秀传统文化的有效途径。中华文明根植于农耕文化，乡村是中华文明的基本载体。乡村振兴，乡风文明是保障。实施乡村振兴战略，深入挖掘农耕文化蕴含的优秀思想观念、人文精神、道德规范，结合时代要求在保护传承的基础上创造性转化、创新性发展，有利于在新时代焕发出乡风文明的新气象，进一步丰富和传承中华优秀传统文化。
实施乡村振兴战略是健全现代社会治理格局的固本之策。社会治理的基础在基层，薄弱环节在乡村。乡村振兴，治理有效是基础。实施乡村振兴战略，加强农村基层基础工作，健全乡村治理体系，确保广大农民安居乐业、农村社会安定有序，有利于打造共建共治共享的现代社会治理格局，推进国家治理体系和治理能力现代化。
实施乡村振兴战略是实现全体人民共同富裕的必然选择。农业强不强、农村美不美、农民富不富，关乎亿万农民的获得感、幸福感、安全感，关乎全面建成小康社会全局。乡村振兴，生活富裕是根本。实施乡村振兴战略，不断拓宽农民增收渠道，全面改善农村生产生活条件，促进社会公平正义，有利于增进农民福祉，让亿万农民走上共同富裕的道路，汇聚起建设社会主义现代化强国的磅礴力量。
第二章　振兴基础
党的十八大以来，面对我国经济发展进入新常态带来的深刻变化，以习近平同志为核心的党中央推动“三农”工作理论创新、实践创新、制度创新，坚持把解决好“三农”问题作为全党工作重中之重，切实把农业农村优先发展落到实处；坚持立足国内保证自给的方针，牢牢把握国家粮食安全主动权；坚持不断深化农村改革，激发农村发展新活力；坚持把推进农业供给侧结构性改革作为主线，加快提高农业供给质量；坚持绿色生态导向，推动农业农村可持续发展；坚持在发展中保障和改善民生，让广大农民有更多获得感；坚持遵循乡村发展规律，扎实推进生态宜居的美丽乡村建设；坚持加强和改善党对农村工作的领导，为“三农”发展提供坚强政治保障。这些重大举措和开创性工作，推动农业农村发展取得历史性成就、发生历史性变革，为党和国家事业全面开创新局面提供了有力支撑。
农业供给侧结构性改革取得新进展，农业综合生产能力明显增强，全国粮食总产量连续5年保持在1.2万亿斤以上，农业结构不断优化，农村新产业新业态新模式蓬勃发展，农业生态环境恶化问题得到初步遏制，农业生产经营方式发生重大变化。农村改革取得新突破，农村土地制度、农村集体产权制度改革稳步推进，重要农产品收储制度改革取得实质性成效，农村创新创业和投资兴业蔚然成风，农村发展新动能加快成长。城乡发展一体化迈出新步伐，5年间8000多万农业转移人口成为城镇居民，城乡居民收入相对差距缩小，农村消费持续增长，农民收入和生活水平明显提高。脱贫攻坚开创新局面，贫困地区农民收入增速持续快于全国平均水平，集中连片特困地区内生发展动力明显增强，过去5年累计6800多万贫困人口脱贫。农村公共服务和社会事业达到新水平，农村基础设施建设不断加强，人居环境整治加快推进，教育、医疗卫生、文化等社会事业快速发展，农村社会焕发新气象。
同时，应当清醒地看到，当前我国农业农村基础差、底子薄、发展滞后的状况尚未根本改变，经济社会发展中最明显的短板仍然在“三农”，现代化建设中最薄弱的环节仍然是农业农村。主要表现在：农产品阶段性供过于求和供给不足并存，农村一二三产业融合发展深度不够，农业供给质量和效益亟待提高；农民适应生产力发展和市场竞争的能力不足，农村人才匮乏；农村基础设施建设仍然滞后，农村环境和生态问题比较突出，乡村发展整体水平亟待提升；农村民生领域欠账较多，城乡基本公共服务和收入水平差距仍然较大，脱贫攻坚任务依然艰巨；国家支农体系相对薄弱，农村金融改革任务繁重，城乡之间要素合理流动机制亟待健全；农村基层基础工作存在薄弱环节，乡村治理体系和治理能力亟待强化。
第三章　发展态势
从2018年到2022年，是实施乡村振兴战略的第一个5年，既有难得机遇，又面临严峻挑战。从国际环境看，全球经济复苏态势有望延续，我国统筹利用国内国际两个市场两种资源的空间将进一步拓展，同时国际农产品贸易不稳定性不确定性仍然突出，提高我国农业竞争力、妥善应对国际市场风险任务紧迫。特别是我国作为人口大国，粮食及重要农产品需求仍将刚性增长，保障国家粮食安全始终是头等大事。从国内形势看，随着我国经济由高速增长阶段转向高质量发展阶段，以及工业化、城镇化、信息化深入推进，乡村发展将处于大变革、大转型的关键时期。居民消费结构加快升级，中高端、多元化、个性化消费需求将快速增长，加快推进农业由增产导向转向提质导向是必然要求。我国城镇化进入快速发展与质量提升的新阶段，城市辐射带动农村的能力进一步增强，但大量农民仍然生活在农村的国情不会改变，迫切需要重塑城乡关系。我国乡村差异显著，多样性分化的趋势仍将延续，乡村的独特价值和多元功能将进一步得到发掘和拓展，同时应对好村庄空心化和农村老龄化、延续乡村文化血脉、完善乡村治理体系的任务艰巨。
实施乡村振兴战略具备较好条件。有习近平总书记把舵定向，有党中央、国务院的高度重视、坚强领导、科学决策，实施乡村振兴战略写入党章，成为全党的共同意志，乡村振兴具有根本政治保障。社会主义制度能够集中力量办大事，强农惠农富农政策力度不断加大，农村土地集体所有制和双层经营体制不断完善，乡村振兴具有坚强制度保障。优秀农耕文明源远流长，寻根溯源的人文情怀和国人的乡村情结历久弥深，现代城市文明导入融汇，乡村振兴具有深厚文化土壤。国家经济实力和综合国力日益增强，对农业农村支持力度不断加大，农村生产生活条件加快改善，农民收入持续增长，乡村振兴具有雄厚物质基础。农业现代化和社会主义新农村建设取得历史性成就，各地积累了丰富的成功经验和做法，乡村振兴具有扎实工作基础。
实施乡村振兴战略，是党对“三农”工作一系列方针政策的继承和发展，是亿万农民的殷切期盼。必须抓住机遇，迎接挑战，发挥优势，顺势而为，努力开创农业农村发展新局面，推动农业全面升级、农村全面进步、农民全面发展，谱写新时代乡村全面振兴新篇章。
第二篇　总体要求
按照到2020年实现全面建成小康社会和分两个阶段实现第二个百年奋斗目标的战略部署，2018年至2022年这5年间，既要在农村实现全面小康，又要为基本实现农业农村现代化开好局、起好步、打好基础。
第四章　指导思想和基本原则
第一节　指导思想
深入贯彻习近平新时代中国特色社会主义思想，深入贯彻党的十九大和十九届二中、三中全会精神，加强党对“三农”工作的全面领导，坚持稳中求进工作总基调，牢固树立新发展理念，落实高质量发展要求，紧紧围绕统筹推进“五位一体”总体布局和协调推进“四个全面”战略布局，坚持把解决好“三农”问题作为全党工作重中之重，坚持农业农村优先发展，按照产业兴旺、生态宜居、乡风文明、治理有效、生活富裕的总要求，建立健全城乡融合发展体制机制和政策体系，统筹推进农村经济建设、政治建设、文化建设、社会建设、生态文明建设和党的建设，加快推进乡村治理体系和治理能力现代化，加快推进农业农村现代化，走中国特色社会主义乡村振兴道路，让农业成为有奔头的产业，让农民成为有吸引力的职业，让农村成为安居乐业的美丽家园。
第二节　基本原则
——坚持党管农村工作。毫不动摇地坚持和加强党对农村工作的领导，健全党管农村工作方面的领导体制机制和党内法规，确保党在农村工作中始终总揽全局、协调各方，为乡村振兴提供坚强有力的政治保障。
——坚持农业农村优先发展。把实现乡村振兴作为全党的共同意志、共同行动，做到认识统一、步调一致，在干部配备上优先考虑，在要素配置上优先满足，在资金投入上优先保障，在公共服务上优先安排，加快补齐农业农村短板。
——坚持农民主体地位。充分尊重农民意愿，切实发挥农民在乡村振兴中的主体作用，调动亿万农民的积极性、主动性、创造性，把维护农民群众根本利益、促进农民共同富裕作为出发点和落脚点，促进农民持续增收，不断提升农民的获得感、幸福感、安全感。
——坚持乡村全面振兴。准确把握乡村振兴的科学内涵，挖掘乡村多种功能和价值，统筹谋划农村经济建设、政治建设、文化建设、社会建设、生态文明建设和党的建设，注重协同性、关联性，整体部署，协调推进。
——坚持城乡融合发展。坚决破除体制机制弊端，使市场在资源配置中起决定性作用，更好发挥政府作用，推动城乡要素自由流动、平等交换，推动新型工业化、信息化、城镇化、农业现代化同步发展，加快形成工农互促、城乡互补、全面融合、共同繁荣的新型工农城乡关系。
——坚持人与自然和谐共生。牢固树立和践行绿水青山就是金山银山的理念，落实节约优先、保护优先、自然恢复为主的方针，统筹山水林田湖草系统治理，严守生态保护红线，以绿色发展引领乡村振兴。
——坚持改革创新、激发活力。不断深化农村改革，扩大农业对外开放，激活主体、激活要素、激活市场，调动各方力量投身乡村振兴。以科技创新引领和支撑乡村振兴，以人才汇聚推动和保障乡村振兴，增强农业农村自我发展动力。
——坚持因地制宜、循序渐进。科学把握乡村的差异性和发展走势分化特征，做好顶层设计，注重规划先行、因势利导，分类施策、突出重点，体现特色、丰富多彩。既尽力而为，又量力而行，不搞层层加码，不搞一刀切，不搞形式主义和形象工程，久久为功，扎实推进。
第五章　发展目标
到2020年，乡村振兴的制度框架和政策体系基本形成，各地区各部门乡村振兴的思路举措得以确立，全面建成小康社会的目标如期实现。到2022年，乡村振兴的制度框架和政策体系初步健全。国家粮食安全保障水平进一步提高，现代农业体系初步构建，农业绿色发展全面推进；农村一二三产业融合发展格局初步形成，乡村产业加快发展，农民收入水平进一步提高，脱贫攻坚成果得到进一步巩固；农村基础设施条件持续改善，城乡统一的社会保障制度体系基本建立；农村人居环境显著改善，生态宜居的美丽乡村建设扎实推进；城乡融合发展体制机制初步建立，农村基本公共服务水平进一步提升；乡村优秀传统文化得以传承和发展，农民精神文化生活需求基本得到满足；以党组织为核心的农村基层组织建设明显加强，乡村治理能力进一步提升，现代乡村治理体系初步构建。探索形成一批各具特色的乡村振兴模式和经验，乡村振兴取得阶段性成果。

图表：专栏1 乡村振兴战略规划主要指标
新华社发第六章　远景谋划
到2035年，乡村振兴取得决定性进展，农业农村现代化基本实现。农业结构得到根本性改善，农民就业质量显著提高，相对贫困进一步缓解，共同富裕迈出坚实步伐；城乡基本公共服务均等化基本实现，城乡融合发展体制机制更加完善；乡风文明达到新高度，乡村治理体系更加完善；农村生态环境根本好转，生态宜居的美丽乡村基本实现。
到2050年，乡村全面振兴，农业强、农村美、农民富全面实现。
第三篇　构建乡村振兴新格局
坚持乡村振兴和新型城镇化双轮驱动，统筹城乡国土空间开发格局，优化乡村生产生活生态空间，分类推进乡村振兴，打造各具特色的现代版“富春山居图”。
第七章　统筹城乡发展空间
按照主体功能定位，对国土空间的开发、保护和整治进行全面安排和总体布局，推进“多规合一”，加快形成城乡融合发展的空间格局。
第一节　强化空间用途管制
强化国土空间规划对各专项规划的指导约束作用，统筹自然资源开发利用、保护和修复，按照不同主体功能定位和陆海统筹原则，开展资源环境承载能力和国土空间开发适宜性评价，科学划定生态、农业、城镇等空间和生态保护红线、永久基本农田、城镇开发边界及海洋生物资源保护线、围填海控制线等主要控制线，推动主体功能区战略格局在市县层面精准落地，健全不同主体功能区差异化协同发展长效机制，实现山水林田湖草整体保护、系统修复、综合治理。
第二节　完善城乡布局结构
以城市群为主体构建大中小城市和小城镇协调发展的城镇格局，增强城镇地区对乡村的带动能力。加快发展中小城市，完善县城综合服务功能，推动农业转移人口就地就近城镇化。因地制宜发展特色鲜明、产城融合、充满魅力的特色小镇和小城镇，加强以乡镇政府驻地为中心的农民生活圈建设，以镇带村、以村促镇，推动镇村联动发展。建设生态宜居的美丽乡村，发挥多重功能，提供优质产品，传承乡村文化，留住乡愁记忆，满足人民日益增长的美好生活需要。
第三节　推进城乡统一规划
通盘考虑城镇和乡村发展，统筹谋划产业发展、基础设施、公共服务、资源能源、生态环境保护等主要布局，形成田园乡村与现代城镇各具特色、交相辉映的城乡发展形态。强化县域空间规划和各类专项规划引导约束作用，科学安排县域乡村布局、资源利用、设施配置和村庄整治，推动村庄规划管理全覆盖。综合考虑村庄演变规律、集聚特点和现状分布，结合农民生产生活半径，合理确定县域村庄布局和规模，避免随意撤并村庄搞大社区、违背农民意愿大拆大建。加强乡村风貌整体管控，注重农房单体个性设计，建设立足乡土社会、富有地域特色、承载田园乡愁、体现现代文明的升级版乡村，避免千村一面，防止乡村景观城市化。
第八章　优化乡村发展布局
坚持人口资源环境相均衡、经济社会生态效益相统一，打造集约高效生产空间，营造宜居适度生活空间，保护山清水秀生态空间，延续人和自然有机融合的乡村空间关系。
第一节　统筹利用生产空间
乡村生产空间是以提供农产品为主体功能的国土空间，兼具生态功能。围绕保障国家粮食安全和重要农产品供给，充分发挥各地比较优势，重点建设以“七区二十三带”为主体的农产品主产区。落实农业功能区制度，科学合理划定粮食生产功能区、重要农产品生产保护区和特色农产品优势区，合理划定养殖业适养、限养、禁养区域，严格保护农业生产空间。适应农村现代产业发展需要，科学划分乡村经济发展片区，统筹推进农业产业园、科技园、创业园等各类园区建设。
第二节　合理布局生活空间
乡村生活空间是以农村居民点为主体、为农民提供生产生活服务的国土空间。坚持节约集约用地，遵循乡村传统肌理和格局，划定空间管控边界，明确用地规模和管控要求，确定基础设施用地位置、规模和建设标准，合理配置公共服务设施，引导生活空间尺度适宜、布局协调、功能齐全。充分维护原生态村居风貌，保留乡村景观特色，保护自然和人文环境，注重融入时代感、现代性，强化空间利用的人性化、多样化，着力构建便捷的生活圈、完善的服务圈、繁荣的商业圈，让乡村居民过上更舒适的生活。
第三节　严格保护生态空间
乡村生态空间是具有自然属性、以提供生态产品或生态服务为主体功能的国土空间。加快构建以“两屏三带”为骨架的国家生态安全屏障，全面加强国家重点生态功能区保护，建立以国家公园为主体的自然保护地体系。树立山水林田湖草是一个生命共同体的理念，加强对自然生态空间的整体保护，修复和改善乡村生态环境，提升生态功能和服务价值。全面实施产业准入负面清单制度，推动各地因地制宜制定禁止和限制发展产业目录，明确产业发展方向和开发强度，强化准入管理和底线约束。
第九章　分类推进乡村发展
顺应村庄发展规律和演变趋势，根据不同村庄的发展现状、区位条件、资源禀赋等，按照集聚提升、融入城镇、特色保护、搬迁撤并的思路，分类推进乡村振兴，不搞一刀切。
第一节　集聚提升类村庄
现有规模较大的中心村和其他仍将存续的一般村庄，占乡村类型的大多数，是乡村振兴的重点。科学确定村庄发展方向，在原有规模基础上有序推进改造提升，激活产业、优化环境、提振人气、增添活力，保护保留乡村风貌，建设宜居宜业的美丽村庄。鼓励发挥自身比较优势，强化主导产业支撑，支持农业、工贸、休闲服务等专业化村庄发展。加强海岛村庄、国有农场及林场规划建设，改善生产生活条件。
第二节　城郊融合类村庄
城市近郊区以及县城城关镇所在地的村庄，具备成为城市后花园的优势，也具有向城市转型的条件。综合考虑工业化、城镇化和村庄自身发展需要，加快城乡产业融合发展、基础设施互联互通、公共服务共建共享，在形态上保留乡村风貌，在治理上体现城市水平，逐步强化服务城市发展、承接城市功能外溢、满足城市消费需求能力，为城乡融合发展提供实践经验。
第三节　特色保护类村庄
历史文化名村、传统村落、少数民族特色村寨、特色景观旅游名村等自然历史文化特色资源丰富的村庄，是彰显和传承中华优秀传统文化的重要载体。统筹保护、利用与发展的关系，努力保持村庄的完整性、真实性和延续性。切实保护村庄的传统选址、格局、风貌以及自然和田园景观等整体空间形态与环境，全面保护文物古迹、历史建筑、传统民居等传统建筑。尊重原住居民生活形态和传统习惯，加快改善村庄基础设施和公共环境，合理利用村庄特色资源，发展乡村旅游和特色产业，形成特色资源保护与村庄发展的良性互促机制。
第四节　搬迁撤并类村庄
对位于生存条件恶劣、生态环境脆弱、自然灾害频发等地区的村庄，因重大项目建设需要搬迁的村庄，以及人口流失特别严重的村庄，可通过易地扶贫搬迁、生态宜居搬迁、农村集聚发展搬迁等方式，实施村庄搬迁撤并，统筹解决村民生计、生态保护等问题。拟搬迁撤并的村庄，严格限制新建、扩建活动，统筹考虑拟迁入或新建村庄的基础设施和公共服务设施建设。坚持村庄搬迁撤并与新型城镇化、农业现代化相结合，依托适宜区域进行安置，避免新建孤立的村落式移民社区。搬迁撤并后的村庄原址，因地制宜复垦或还绿，增加乡村生产生态空间。农村居民点迁建和村庄撤并，必须尊重农民意愿并经村民会议同意，不得强制农民搬迁和集中上楼。
第十章　坚决打好精准脱贫攻坚战
把打好精准脱贫攻坚战作为实施乡村振兴战略的优先任务，推动脱贫攻坚与乡村振兴有机结合相互促进，确保到2020年我国现行标准下农村贫困人口实现脱贫，贫困县全部摘帽，解决区域性整体贫困。
第一节　深入实施精准扶贫精准脱贫
健全精准扶贫精准脱贫工作机制，夯实精准扶贫精准脱贫基础性工作。因地制宜、因户施策，探索多渠道、多样化的精准扶贫精准脱贫路径，提高扶贫措施针对性和有效性。做好东西部扶贫协作和对口支援工作，着力推动县与县精准对接，推进东部产业向西部梯度转移，加大产业扶贫工作力度。加强和改进定点扶贫工作，健全驻村帮扶机制，落实扶贫责任。加大金融扶贫力度。健全社会力量参与机制，引导激励社会各界更加关注、支持和参与脱贫攻坚。
第二节　重点攻克深度贫困
实施深度贫困地区脱贫攻坚行动方案。以解决突出制约问题为重点，以重大扶贫工程和到村到户到人帮扶为抓手，加大政策倾斜和扶贫资金整合力度，着力改善深度贫困地区发展条件，增强贫困农户发展能力。推动新增脱贫攻坚资金、新增脱贫攻坚项目、新增脱贫攻坚举措主要用于“三区三州”等深度贫困地区。推进贫困村基础设施和公共服务设施建设，培育壮大集体经济，确保深度贫困地区和贫困群众同全国人民一道进入全面小康社会。
第三节　巩固脱贫攻坚成果
加快建立健全缓解相对贫困的政策体系和工作机制，持续改善欠发达地区和其他地区相对贫困人口的发展条件，完善公共服务体系，增强脱贫地区“造血”功能。结合实施乡村振兴战略，压茬推进实施生态宜居搬迁等工程，巩固易地扶贫搬迁成果。注重扶志扶智，引导贫困群众克服“等靠要”思想，逐步消除精神贫困。建立正向激励机制，将帮扶政策措施与贫困群众参与挂钩，培育提升贫困群众发展生产和务工经商的基本能力。加强宣传引导，讲好中国减贫故事。认真总结脱贫攻坚经验，研究建立促进群众稳定脱贫和防范返贫的长效机制，探索统筹解决城乡贫困的政策措施，确保贫困群众稳定脱贫。
第四篇　加快农业现代化步伐
坚持质量兴农、品牌强农，深化农业供给侧结构性改革，构建现代农业产业体系、生产体系、经营体系，推动农业发展质量变革、效率变革、动力变革，持续提高农业创新力、竞争力和全要素生产率。
第十一章　夯实农业生产能力基础
深入实施藏粮于地、藏粮于技战略，提高农业综合生产能力，保障国家粮食安全和重要农产品有效供给，把中国人的饭碗牢牢端在自己手中。
第一节　健全粮食安全保障机制
坚持以我为主、立足国内、确保产能、适度进口、科技支撑的国家粮食安全战略，建立全方位的粮食安全保障机制。按照“确保谷物基本自给、口粮绝对安全”的要求，持续巩固和提升粮食生产能力。深化中央储备粮管理体制改革，科学确定储备规模，强化中央储备粮监督管理，推进中央、地方两级储备协同运作。鼓励加工流通企业、新型经营主体开展自主储粮和经营。全面落实粮食安全省长责任制，完善监督考核机制。强化粮食质量安全保障。加快完善粮食现代物流体系，构建安全高效、一体化运作的粮食物流网络。
第二节　加强耕地保护和建设
严守耕地红线，全面落实永久基本农田特殊保护制度，完成永久基本农田控制线划定工作，确保到2020年永久基本农田保护面积不低于15.46亿亩。大规模推进高标准农田建设，确保到2022年建成10亿亩高标准农田，所有高标准农田实现统一上图入库，形成完善的管护监督和考核机制。加快将粮食生产功能区和重要农产品生产保护区细化落实到具体地块，实现精准化管理。加强农田水利基础设施建设，实施耕地质量保护和提升行动，到2022年农田有效灌溉面积达到10.4亿亩，耕地质量平均提升0.5个等级（别）以上。
第三节　提升农业装备和信息化水平
推进我国农机装备和农业机械化转型升级，加快高端农机装备和丘陵山区、果菜茶生产、畜禽水产养殖等农机装备的生产研发、推广应用，提升渔业船舶装备水平。促进农机农艺融合，积极推进作物品种、栽培技术和机械装备集成配套，加快主要作物生产全程机械化，提高农机装备智能化水平。加强农业信息化建设，积极推进信息进村入户，鼓励互联网企业建立产销衔接的农业服务平台，加强农业信息监测预警和发布，提高农业综合信息服务水平。大力发展数字农业，实施智慧农业工程和“互联网+”现代农业行动，鼓励对农业生产进行数字化改造，加强农业遥感、物联网应用，提高农业精准化水平。发展智慧气象，提升气象为农服务能力。

图表：专栏2 农业综合生产能力提升重大工程
新华社发第十二章　加快农业转型升级
