工作	gong zuo 
应急	ying ji 
鼓励	gu li 
基本	ji ben 
以及	yi ji 
工业	gong ye 
报告	bao gao 
信息化	xin xi hua 
有限公司	you xian gong si 
做好	zuo hao 
经营	jing ying 
国际	guo ji 
资源	zi yuan 
党支部	dang zhi bu 
风险	feng xian 
重要	zhong yao 
城市	cheng shi 
执行	zhi xing 
合作	he zuo 
需要	xu yao 
优化	you hua 
以下	yi xia 
卫生	wei sheng 
方案	fang an 
生态	sheng tai 
统筹	tong chou 
参与	can yu 
不得	bu de 
党员	dang yuan 
环境	huan jing 
实现	shi xian 
承担	cheng dan 
批准	pi zhun 
监督管理	jian du guan li 
主要	zhu yao 
给予	ji yu 
检查	jian cha 
总局	zong ju 
健全	jian quan 
联席会议	lian xi hui yi 
党组织	dang zu zhi 
资金	zi jin 
考核	kao he 
深化	shen hua 
水平	shui ping 
设立	she li 
试点	shi dian 
科技	ke ji 
作用	zuo yong 
引导	yin dao 
城乡	cheng xiang 
活动	huo dong 
政务	zheng wu 
平台	ping tai 
各级	ge ji 
形成	xing cheng 
行业	hang ye 
评价	ping jia 
措施	cuo shi 
范围	fan wei 
提出	ti chu 
统一	tong yi 
党中央	dang zhong yang 
人民	ren min 
持续	chi xu 
通过	tong guo 
住房	zhu fang 
人力资源	ren li zi yuan 
条件	tiao jian 
主管部门	zhu guan bu men 
文化	wen hua 
商务部	shang wu bu 
及其	ji qi 
方面	fang mian 
县级	xian ji 
评估	ping gu 
加大	jia da 
总体规划	zong ti gui hua 
行为	xing wei 
处理	chu li 
决策	jue ce 
登记	deng ji 
监测	jian ce 
实行	shi xing 
培训	pei xun 
产品	chan pin 
法律	fa lv 
领导小组	ling dao xiao zu 
党组	dang zu 
利用	li yong 
基础	ji chu 
治理	zhi li 
就业	jiu ye 
科学	ke xue 
数据	shu ju 
区域	qu yu 
药品	yao pin 
力度	li du 
办法	ban fa 
有效	you xiao 
人才	ren cai 
任务	ren wu 
积极	ji ji 
执法	zhi fa 
确保	que bao 
发挥	fa hui 
创业	chuang ye 
办理	ban li 
个人	ge ren 
基金	ji jin 
主任医师	zhu ren yi shi 
群众	qun zhong 
成员	cheng yuan 
主体	zhu ti 
内容	nei rong 
审查	shen cha 
履行	lv xing 
交通运输	jiao tong yun shu 
建立健全	jian li jian quan 
转发	zhuan fa 
确定	que ding 
省级	sheng ji 
生态环境	sheng tai huan jing 
业务	ye wu 
开放	kai fang 
共享	gong xiang 
明确	ming que 
处分	chu fen 
公司	gong si 
集团	ji tuan 
系统	xi tong 
作为	zuo wei 
中心	zhong xin 
扶贫开发	fu pin kai fa 
维护	wei hu 
协同	xie tong 
政治	zheng zhi 
申请	shen qing 
工程	gong cheng 
扶贫	fu pin 
调查	diao cha 
试验区	shi yan qu 
认真	ren zhen 
党内	dang nei 
市场监管	shi chang jian guan 
探索	tan suo 
处置	chu zhi 
医疗	yi liao 
予以	yu yi 
增强	zeng qiang 
备案	bei an 
部署	bu shu 
信用	xin yong 
解决	jie jue 
知识产权	zhi shi chan quan 
预算	yu suan 
各类	ge lei 
设施	she shi 
符合	fu he 
互联网	hu lian wang 
计划	ji hua 
建设部	jian she bu 
纳入	na ru 
贯彻落实	guan che luo shi 
构建	gou jian 
中华人民共和国	zhong hua ren min gong he guo 
程序	cheng xu 
安排	an pai 
下列	xia lie 
党委书记	dang wei shu ji 
严格	yan ge 
基层	ji ceng 
统计	tong ji 
财政	cai zheng 
生活	sheng huo 
社会主义	she hui zhu yi 
贸易	mao yi 
专业	zhuan ye 
医疗器械	yi liao qi xie 
法律法规	fa lv fa gui 
公布	gong bu 
作出	zuo chu 
编制	bian zhi 
直辖市	zhi xia shi 
社区	she qu 
乡村	xiang cun 
依照	yi zhao 
体制	ti zhi 
结合	jie he 
融合	rong he 
法治	fa zhi 
原则	yuan ze 
自治区	zi zhi qu 
目标	mu biao 
粮食	liang shi 
农药	nong yao 
社会保障部	she hui bao zhang bu 
环境保护	huan jing bao hu 
金融	jin rong 
基础设施	ji chu she shi 
融资	rong zi 
升级	sheng ji 
开发	kai fa 
违法	wei fa 
结果	jie guo 
如下	ru xia 
直接	zhi jie 
具体	ju ti 
合理	he li 
食品安全	shi pin an quan 
公共服务	gong gong fu wu 
宣传	xuan chuan 
推广	tui guang 
战略	zhan lve 
应用	ying yong 
专项	zhuan xiang 
扩大	kuo da 
网络	wang luo 
实际	shi ji 
能源	neng yuan 
年度	nian du 
支出	zhi chu 
网站	wang zhan 
北京	bei jing 
采取	cai qu 
第一书记	di yi shu ji 
修订	xiu ding 
违反	wei fan 
上级	shang ji 
模式	mo shi 
培育	pei yu 
支付	zhi fu 
市场主体	shi chang zhu ti 
普查	pu cha 
自然资源	zi ran zi yuan 
文件	wen jian 
参加	can jia 
发布	fa bu 
部际	bu ji 
资产	zi chan 
土地	tu di 
督查	du cha 
审计	shen ji 
特色	te se 
负责人	fu ze ren 
食品	shi pin 
预防	yu fang 
督察	du cha 
修改	xiu gai 
请示	qing shi 
防治	fang zhi 
需求	xu qiu 
涉及	she ji 
消费	xiao fei 
示范	shi fan 
设置	she zhi 
物流	wu liu 
运行	yun xing 
中央军委	zhong yang jun wei 
转移	zhuan yi 
街道	jie dao 
稳定	wen ding 
配置	pei zhi 
取得	qu de 
绿色	lv se 
本级	ben ji 
分工	fen gong 
检验	jian yan 
具有	ju you 
发现	fa xian 
会同	hui tong 
防控	fang kong 
学校	xue xiao 
控制	kong zhi 
旅游	lv you 
救助	jiu zhu 
许可	xu ke 
基地	ji di 
情形	qing xing 
公共	gong gong 
国有	guo you 
复函	fu han 
工作队	gong zuo dui 
收入	shou ru 
配合	pei he 
简称	jian cheng 
拟订	ni ding 
职能	zhi neng 
用地	yong di 
残疾人	can ji ren 
行动	xing dong 
激励	ji li 
部分	bu fen 
充分发挥	chong fen fa hui 
宗教	zong jiao 
进口	jin kou 
精神	jing shen 
人民银行	ren min yin hang 
深入	shen ru 
农民	nong min 
科技部	ke ji bu 
教育部	jiao yu bu 
突出	tu chu 
高新技术	gao xin ji shu 
督促	du cu 
公安部	gong an bu 
职务	zhi wu 
振兴	zhen xing 
会议	hui yi 
发生	fa sheng 
有序	you xu 
学院	xue yuan 
担保	dan bao 
民政部	min zheng bu 
责令	ze ling 
医保	yi bao 
共同	gong tong 
切实	qie shi 
功能	gong neng 
一级	yi ji 
思想	si xiang 
规章	gui zhang 
队伍	dui wu 
成立	cheng li 
社会保障	she hui bao zhang 
不断	bu duan 
中共	zhong gong 
打造	da zao 
救援	jiu yuan 
审核	shen he 
债务	zhai wu 
化妆品	hua zhuang pin 
集中	ji zhong 
农业部	nong ye bu 
建议	jian yi 
清单	qing dan 
一批	yi pi 
我国	wo guo 
支撑	zhi cheng 
材料	cai liao 
开发区	kai fa qu 
降低	jiang di 
铁路	tie lu 
继续	ji xu 
脱贫	tuo pin 
目录	mu lu 
采购	cai gou 
严重	yan zhong 
增加	zeng jia 
整合	zheng he 
农村部	nong cun bu 
注册	zhu ce 
优先	you xian 
相应	xiang ying 
高效	gao xiao 
必须	bi xu 
清理	qing li 
建设项目	jian she xiang mu 
分别	fen bie 
外商投资	wai shang tou zi 
驻村	zhu cun 
管理制度	guan li zhi du 
供给	gong ji 
年内	nian nei 
运营	yun ying 
依据	yi ju 
关系	guan xi 
党总支	dang zong zhi 
纪检监察	ji jian jian cha 
许可证	xu ke zheng 
对外	dui wai 
事业单位	shi ye dan wei 
定期	ding qi 
结合实际	jie he shi ji 
收费	shou fei 
第一	di yi 
万元	wan yuan 
自由贸易	zi you mao yi 
排污	pai wu 
疫情	yi qing 
渠道	qu dao 
过程	guo cheng 
口岸	kou an 
造成	zao cheng 
记录	ji lu 
分析	fen xi 
养老	yang lao 
力量	li liang 
行政部门	xing zheng bu men 
工资	gong zi 
联合	lian he 
内设	nei she 
非法	fei fa 
疾病	ji bing 
衔接	xian jie 
营造	ying zao 
感染	gan ran 
日常	ri chang 
奖励	jiang li 
管理条例	guan li tiao li 
时代	shi dai 
海关	hai guan 
交通	jiao tong 
快递	kuai di 
整改	zheng gai 
从事	cong shi 
海关总署	hai guan zong shu 
金融机构	jin rong ji gou 
特殊	te shu 
学习	xue xi 
新型	xin xing 
起草	qi cao 
已经	yi jing 
检测	jian ce 
立法	li fa 
经费	jing fei 
资本	zi ben 
政策措施	zheng ce cuo shi 
担任	dan ren 
职业	zhi ye 
经验	jing yan 
转型	zhuan xing 
领导班子	ling dao ban zi 
批转	pi zhuan 
服务业	fu wu ye 
专利	zhuan li 
规则	gui ze 
通报	tong bao 
现代化	xian dai hua 
各地	ge di 
运输	yun shu 
自贸	zi mao 
导向	dao xiang 
你们	ni men 
改造	gai zao 
转化	zhuan hua 
草案	cao an 
成果	cheng guo 
不同	bu tong 
公务员	gong wu yuan 
工作人员	gong zuo ren yuan 
国家级	guo jia ji 
示范区	shi fan qu 
管理工作	guan li gong zuo 
附属	fu shu 
标准化	biao zhun hua 
案件	an jian 
之一	zhi yi 
经济社会	jing ji she hui 
国家有关	guo jia you guan 
境外	jing wai 
施行	shi xing 
党组书记	dang zu shu ji 
年底	nian di 
新华社	xin hua she 
改善	gai shan 
农产品	nong chan pin 
研发	yan fa 
引领	yin ling 
成效	cheng xiao 
若干意见	ruo gan yi jian 
自主	zi zhu 
委员	wei yuan 
着力	zhuo li 
诚信	cheng xin 
委托	wei tuo 
收悉	shou xi 
运用	yun yong 
结构	jie gou 
取消	qu xiao 
防范	fang fan 
布局	bu ju 
事权	shi quan 
保监会	bao jian hui 
加工	jia gong 
规模	gui mo 
医疗保障	yi liao bao zhang 
耕地	geng di 
撤销	che xiao 
设计	she ji 
体制改革	ti zhi gai ge 
资料	zi liao 
必要	bi yao 
优势	you shi 
销售	xiao shou 
日电	ri dian 
体育	ti yu 
储备	chu bei 
应对	ying dui 
出台	chu tai 
指标	zhi biao 
权利	quan li 
交易	jiao yi 
配套	pei tao 
限制	xian zhi 
失信	shi xin 
警告	jing gao 
贯彻	guan che 
国有资产	guo you zi chan 
环境保护部	huan jing bao hu bu 
便利	bian li 
湖北省	hu bei sheng 
院长	yuan zhang 
任何	ren he 
设备	she bei 
土地利用	tu di li yong 
科学技术	ke xue ji shu 
高质量	gao zhi liang 
事业	shi ye 
预警	yu jing 
代表	dai biao 
排放	pai fang 
税务总局	shui wu zong ju 
实施方案	shi shi fang an 
受理	shou li 
交流	jiao liu 
村委会	cun wei hui 
污染物	wu ran wu 
月底	yue di 
适用	shi yong 
服务体系	fu wu ti xi 
依规	yi gui 
大力	da li 
用于	yong yu 
变更	bian geng 
核心	he xin 
公示	gong shi 
出口	chu kou 
科技成果	ke ji cheng guo 
人员编制	ren yuan bian zhi 
广东省	guang dong sheng 
财政部门	cai zheng bu men 
时间	shi jian 
文明	wen ming 
问责	wen ze 
一体化	yi ti hua 
农民工	nong min gong 
流程	liu cheng 
质检	zhi jian 
改正	gai zheng 
现代	xian dai 
更好	geng hao 
坚决	jian jue 
效率	xiao lv 
名称	ming cheng 
明显	ming xian 
服务平台	fu wu ping tai 
纲要	gang yao 
举报	ju bao 
环节	huan jie 
巡视	xun shi 
形式	xing shi 
事件	shi jian 
康复	kang fu 
利益	li yi 
投入	tou ru 
近日	jin ri 
各项	ge xiang 
认定	ren ding 
违规	wei gui 
合法权益	he fa quan yi 
各省	ge sheng 
先进	xian jin 
价格	jia ge 
北京市	bei jing shi 
精准	jing zhun 
存在	cun zai 
成本	cheng ben 
营商	ying shang 
特别	te bie 
合同	he tong 
生猪	sheng zhu 
市场化	shi chang hua 
符合条件	fu he tiao jian 
部长	bu zhang 
良好	liang hao 
培养	pei yang 
公众	gong zhong 
联动	lian dong 
保险	bao xian 
费用	fei yong 
报送	bao song 
权益	quan yi 
科研	ke yan 
追究	zhui jiu 
攻坚	gong jian 
保证	bao zheng 
适当	shi dang 
上述	shang shu 
覆盖	fu gai 
带动	dai dong 
整治	zheng zhi 
居民	ju min 
高校	gao xiao 
改进	gai jin 
志愿	zhi yuan 
国有企业	guo you qi ye 
之日起	zhi ri qi 
数量	shu liang 
相结合	xiang jie he 
定点	ding dian 
场所	chang suo 
达到	da dao 
董事长	dong shi zhang 
拓展	tuo zhan 
主动	zhu dong 
跨境	kua jing 
同志	tong zhi 
同级	tong ji 
认证	ren zheng 
集体	ji ti 
智能	zhi neng 
关键	guan jian 
围绕	wei rao 
日起	ri qi 
人口	ren kou 
召开	zhao kai 
机构编制	ji gou bian zhi 
超过	chao guo 
空间	kong jian 
激发	ji fa 
发出通知	fa chu tong zhi 
逐步	zhu bu 
股份	gu fen 
流动	liu dong 
罚款	fa kuan 
十三	shi san 
注重	zhu zhong 
授权	shou quan 
划分	hua fen 
比例	bi li 
家庭	jia ting 
总结	zong jie 
依托	yi tuo 
电子	dian zi 
队长	dui zhang 
装备	zhuang bei 
减少	jian shao 
医疗机构	yi liao ji gou 
司法部	si fa bu 
查处	cha chu 
情节严重	qing jie yan zhong 
业态	ye tai 
机场	ji chang 
充分	chong fen 
公民	gong min 
名单	ming dan 
要素	yao su 
民办学校	min ban xue xiao 
理论	li lun 
国资委	guo zi wei 
股权	gu quan 
办公用房	ban gong yong fang 
期间	qi jian 
期限	qi xian 
推行	tui xing 
中共中央办公厅	zhong gong zhong yang ban gong ting 
违法行为	wei fa xing wei 
特点	te dian 
境内	jing nei 
规范性	gui fan xing 
检举	jian ju 
国土资源部	guo tu zi yuan bu 
讨论	tao lun 
浙江省	zhe jiang sheng 
四川省	si chuan sheng 
困难	kun nan 
医学科	yi xue ke 
反映	fan ying 
手段	shou duan 
医疗卫生	yi liao wei sheng 
流通	liu tong 
负责同志	fu ze tong zhi 
江苏省	jiang su sheng 
大型	da xing 
按规定	an gui ding 
新建	xin jian 
挂职	gua zhi 
烈士	lie shi 
补助	bu zhu 
消防	xiao fang 
所得	suo de 
手续	shou xu 
党校	dang xiao 
河南省	he nan sheng 
习近平	xi jin ping 
试验	shi yan 
抽查	chou cha 
举措	ju cuo 
中小企业	zhong xiao qi ye 
全球	quan qiu 
意识	yi shi 
代理	dai li 
人工智能	ren gong zhi neng 
事务	shi wu 
集资	ji zi 
附件	fu jian 
岗位	gang wei 
便利化	bian li hua 
权限	quan xian 
选举	xuan ju 
政法	zheng fa 
活力	huo li 
老年人	lao nian ren 
专业化	zhuan ye hua 
国内	guo nei 
城镇	cheng zhen 
民生	min sheng 
到位	dao wei 
污染	wu ran 
草原	cao yuan 
帮扶	bang fu 
试点工作	shi dian gong zuo 
专家	zhuan jia 
审议	shen yi 
具备	ju bei 
劳动	lao dong 
法定	fa ding 
产生	chan sheng 
转变	zhuan bian 
动态	dong tai 
纪律	ji lv 
河北省	he bei sheng 
银行	yin hang 
产能	chan neng 
准入	zhun ru 
中医药局	zhong yi yao ju 
水利部	shui li bu 
国家机关	guo jia ji guan 
全文如下	quan wen ru xia 
方法	fang fa 
制造	zhi zao 
合力	he li 
山东省	shan dong sheng 
预案	yu an 
控制中心	kong zhi zhong xin 
说明	shuo ming 
遵循	zun xun 
学生	xue sheng 
简化	jian hua 
理念	li nian 
绩效	ji xiao 
品牌	pin pai 
公平	gong ping 
若干	ruo gan 
先行	xian xing 
公安局	gong an ju 
食品药品	shi pin yao pin 
属于	shu yu 
每年	mei nian 
参照	can zhao 
配备	pei bei 
上海	shang hai 
科普	ke pu 
中国共产党	zhong guo gong chan dang 
临时	lin shi 
了解	liao jie 
抓好	zhua hao 
义务	yi wu 
历史	li shi 
各级党委	ge ji dang wei 
现有	xian you 
工商总局	gong shang zong ju 
媒体	mei ti 
部队	bu dui 
协作	xie zuo 
军队	jun dui 
儿童	er tong 
修复	xiu fu 
违纪	wei ji 
重症	zhong zheng 
情节	qing jie 
跟踪	gen zong 
分配	fen pei 
全民	quan min 
上海市	shang hai shi 
环境影响	huan jing ying xiang 
请示报告	qing shi bao gao 
法制	fa zhi 
满足	man zu 
价值	jia zhi 
准确	zhun que 
扶持	fu chi 
办公厅	ban gong ting 
举办	ju ban 
禁止	jin zhi 
管理局	guan li ju 
在线	zai xian 
证监会	zheng jian hui 
建成	jian cheng 
有限责任	you xian ze ren 
深度	shen du 
待遇	dai yu 
补充	bu chong 
提交	ti jiao 
全过程	quan guo cheng 
适应	shi ying 
认真贯彻	ren zhen guan che 
方针政策	fang zhen zheng ce 
所属	suo shu 
打击	da ji 
事后	shi hou 
网络安全	wang luo an quan 
双创	shuang chuang 
考察	kao cha 
处罚	chu fa 
党和国家	dang he guo jia 
人类	ren lei 
现将	xian jiang 
计生委	ji sheng wei 
税收	shui shou 
职工	zhi gong 
选拔	xuan ba 
遵守	zun shou 
投诉	tou su 
做到	zuo dao 
国有资本	guo you zi ben 
驱动	qu dong 
回收	hui shou 
为了	wei le 
现场	xian chang 
获得	huo de 
中央财政	zhong yang cai zheng 
协助	xie zhu 
是否	shi fou 
格局	ge ju 
做法	zuo fa 
防止	fang zhi 
保持	bao chi 
放管服	fang guan fu 
党政机关	dang zheng ji guan 
司法	si fa 
咨询	zi xun 
残疾	can ji 
教师	jiao shi 
进出口	jin chu kou 
针对	zhen dui 
履行职责	lv xing zhi ze 
营养	ying yang 
惩戒	cheng jie 
服务中心	fu wu zhong xin 
为主	wei zhu 
告知	gao zhi 
病虫害	bing chong hai 
复制	fu zhi 
约束	yue shu 
主要职责	zhu yao zhi ze 
可能	ke neng 
安全监管	an quan jian guan 
二级	er ji 
行政许可	xing zheng xu ke 
整体	zheng ti 
总体	zong ti 
责任制	ze ren zhi 
主任科员	zhu ren ke yuan 
对接	dui jie 
聘任	pin ren 
云南省	yun nan sheng 
副局长	fu ju zhang 
申报	shen bao 
文职人员	wen zhi ren yuan 
内部	nei bu 
安徽省	an hui sheng 
办事	ban shi 
补偿	bu chang 
国家标准	guo jia biao zhun 
外国	wai guo 
损失	sun shi 
适时	shi shi 
物资	wu zi 
抗震	kang zhen 
竞争力	jing zheng li 
从严治党	cong yan zhi dang 
养老保险	yang lao bao xian 
企事业	qi shi ye 
化解	hua jie 
纳税人	na shui ren 
火灾	huo zai 
控告	kong gao 
尊重	zun zhong 
信访	xin fang 
知识	zhi shi 
第三方	di san fang 
典型	dian xing 
湖南省	hu nan sheng 
纠正	jiu zheng 
督导	du dao 
海洋	hai yang 
对外开放	dui wai kai fang 
协议	xie yi 
标志	biao zhi 
法人	fa ren 
片区	pian qu 
所在地	suo zai di 
强制性	qiang zhi xing 
商品	shang pin 
征收	zheng shou 
家政	jia zheng 
中共中央	zhong gong zhong yang 
转让	zhuan rang 
纪委	ji wei 
危险废物	wei xian fei wu 
建设工程	jian she gong cheng 
局长	ju zhang 
武汉	wu han 
采用	cai yong 
保密	bao mi 
供应链	gong ying lian 
不再	bu zai 
档案	dang an 
遗传	yi chuan 
护士长	hu shi zhang 
高水平	gao shui ping 
之间	zhi jian 
严格执行	yan ge zhi xing 
技能	ji neng 
航空	hang kong 
前款	qian kuan 
危害	wei hai 
机动车	ji dong che 
网上	wang shang 
享受	xiang shou 
听取	ting qu 
抓紧	zhua jin 
租赁	zu lin 
命令	ming ling 
素质	su zhi 
节能	jie neng 
公立医院	gong li yi yuan 
书面	shu mian 
山西省	shan xi sheng 
本行政区域	ben hang zheng qu yu 
方向	fang xiang 
允许	yun xu 
深化改革	shen hua gai ge 
组建	zu jian 
资格	zi ge 
人才培养	ren cai pei yang 
贵州省	gui zhou sheng 
总体方案	zong ti fang an 
居委会	ju wei hui 
森林草原	sen lin cao yuan 
改革方案	gai ge fang an 
车辆	che liang 
发行	fa xing 
长期	chang qi 
创造	chuang zao 
武汉市	wu han shi 
选择	xuan ze 
一定	yi ding 
国土	guo tu 
工程建设	gong cheng jian she 
跨省	kua sheng 
启动	qi dong 
受到	shou dao 
中医药	zhong yi yao 
恢复	hui fu 
行业协会	hang ye xie hui 
指定	zhi ding 
移送	yi song 
灾害	zai hai 
世界	shi jie 
汽车	qi che 
分级	fen ji 
森林	sen lin 
人事档案	ren shi dang an 
表彰	biao zhang 
农作物	nong zuo wu 
积极性	ji ji xing 
优质	you zhi 
指挥部	zhi hui bu 
保留	bao liu 
自然灾害	zi ran zai hai 
农田水利	nong tian shui li 
婴幼儿	ying you er 
公安机关	gong an ji guan 
党建	dang jian 
推荐	tui jian 
证明	zheng ming 
退出	tui chu 
规范化	gui fan hua 
实践	shi jian 
废止	fei zhi 
列入	lie ru 
产业链	chan ye lian 
合格	he ge 
减灾	jian zai 
贷款	dai kuan 
申请人	shen qing ren 
主席	zhu xi 
下级	xia ji 
供应	gong ying 
程度	cheng du 
授予	shou yu 
患者	huan zhe 
江西省	jiang xi sheng 
显著	xian zhu 
倾斜	qing xie 
变动	bian dong 
有力	you li 
固体废物	gu ti fei wu 
得到	de dao 
综合治理	zong he zhi li 
海南	hai nan 
涉嫌	she xian 
损害	sun hai 
事中	shi zhong 
畅通	chang tong 
前提	qian ti 
小组	xiao zu 
改变	gai bian 
巩固	gong gu 
十九	shi jiu 
医药	yi yao 
平方公里	ping fang gong li 
肺炎	fei yan 
知识产权局	zhi shi chan quan ju 
补贴	bu tie 
正确	zheng que 
广西壮族自治区	guang xi zhuang zu zi zhi qu 
第二	di er 
管理体制	guan li ti zhi 
因素	yin su 
调研员	diao yan yuan 
依法追究	yi fa zhui jiu 
总经理	zong jing li 
民主	min zhu 
乡镇	xiang zhen 
人选	ren xuan 
呼吸	hu xi 
一路	yi lu 
食盐	shi yan 
相适应	xiang shi ying 
针对性	zhen dui xing 
支援	zhi yuan 
公共卫生	gong gong wei sheng 
对本	dui ben 
合作社	he zuo she 
资源配置	zi yuan pei zhi 
突发事件	tu fa shi jian 
三级	san ji 
重庆市	chong qing shi 
总公司	zong gong si 
新疆维吾尔自治区	xin jiang wei wu er zi zhi qu 
信息系统	xin xi xi tong 
安置	an zhi 
货物	huo wu 
状况	zhuang kuang 
自然保护区	zi ran bao hu qu 
帮助	bang zhu 
一带	yi dai 
进入	jin ru 
本人	ben ren 
填写	tian xie 
黑龙江省	hei long jiang sheng 
资质	zi zhi 
党的领导	dang de ling dao 
两个	liang ge 
地位	di wei 
安全事故	an quan shi gu 
努力	nu li 
健身	jian shen 
留党察看	liu dang cha kan 
树立	shu li 
停止	ting zhi 
旅游部	lv you bu 
执业	zhi ye 
突破	tu po 
不能	bu neng 
医学	yi xue 
优秀	you xiu 
增值税	zeng zhi shui 
党的建设	dang de jian she 
消防安全	xiao fang an quan 
青年	qing nian 
细化	xi hua 
掌握	zhang wo 
把握	ba wo 
统一战线	tong yi zhan xian 
结算	jie suan 
人事	ren shi 
陕西省	shan xi sheng 
注销	zhu xiao 
计算	ji suan 
民族	min zu 
扩大开放	kuo da kai fang 
承诺	cheng nuo 
投资者	tou zi zhe 
消费者	xiao fei zhe 
监察	jian cha 
文物	wen wu 
人才队伍	ren cai dui wu 
广泛	guang fan 
船舶	chuan bo 
电子商务	dian zi shang wu 
道路	dao lu 
评审	ping shen 
任用	ren yong 
施工	shi gong 
担当	dan dang 
规律	gui lv 
负担	fu dan 
银行业	yin hang ye 
证照	zheng zhao 
职级	zhi ji 
消费品	xiao fei pin 
一次	yi ci 
管控	guan kong 
考虑	kao lv 
通信	tong xin 
经营者	jing ying zhe 
切实加强	qie shi jia qiang 
工作部门	gong zuo bu men 
各方	ge fang 
商业	shang ye 
屠宰	tu zai 
广播电视	guang bo dian shi 
监控	jian kong 
体育总局	ti yu zong ju 
聚焦	ju jiao 
核查	he cha 
原则同意	yuan ze tong yi 
常态	chang tai 
反馈	fan kui 
成为	cheng wei 
当地	dang di 
面向	mian xiang 
有权	you quan 
环保	huan bao 
失业	shi ye 
职业技能	zhi ye ji neng 
高级	gao ji 
原则上	yuan ze shang 
集中统一	ji zhong tong yi 
全部	quan bu 
确认	que ren 
公平竞争	gong ping jing zheng 
购买	gou mai 
新区	xin qu 
晋升	jin sheng 
效益	xiao yi 
党委委员	dang wei wei yuan 
责任人	ze ren ren 
效能	xiao neng 
报废	bao fei 
一个	yi ge 
财产	cai chan 
核电	he dian 
任职	ren zhi 
自律	zi lv 
因地制宜	yin di zhi yi 
承办	cheng ban 
秩序	zhi xu 
自然	zi ran 
责任人员	ze ren ren yuan 
多种	duo zhong 
义务教育	yi wu jiao yu 
所在单位	suo zai dan wei 
宣传教育	xuan chuan jiao yu 
支队	zhi dui 
位于	wei yu 
引进	yin jin 
债券	zhai quan 
收集	shou ji 
上市	shang shi 
社会保险	she hui bao xian 
天津市	tian jin shi 
协商	xie shang 
高端	gao duan 
验收	yan shou 
未经	wei jing 
福建省	fu jian sheng 
临床	lin chuang 
作业	zuo ye 
自觉	zi jue 
各自	ge zi 
沟通	gou tong 
动力	dong li 
解读	jie du 
数字	shu zi 
如实	ru shi 
开除党籍	kai chu dang ji 
线索	xian suo 
统计调查	tong ji diao cha 
移动	yi dong 
网信	wang xin 
集约	ji yue 
没有	mei you 
有利于	you li yu 
电力	dian li 
出现	chu xian 
党外	dang wai 
党政领导	dang zheng ling dao 
行政区划	xing zheng qu hua 
约定	yue ding 
品种	pin zhong 
涉企	she qi 
章程	zhang cheng 
公正	gong zheng 
活动场所	huo dong chang suo 
第一款	di yi kuan 
干预	gan yu 
人士	ren shi 
生物	sheng wu 
调剂	tiao ji 
不予	bu yu 
集聚	ji ju 
县委	xian wei 
财务	cai wu 
科研院所	ke yan yuan suo 
拖欠	tuo qian 
社会治安	she hui zhi an 
林业	lin ye 
污染源	wu ran yuan 
用途	yong tu 
另有	ling you 
正常	zheng chang 
增长	zeng zhang 
