白蛾	bai e 
商机	shang ji 
书堆	shu dui 
红衫	hong shan 
恐龙	kong long 
因素	yin su 
心房	xin fang 
大都会	da du hui 
中亚	zhong ya 
柏林	bo lin 
升官	sheng guan 
平衡点	ping heng dian 
美国国防部	mei guo guo fang bu 
鞭炮	bian pao 
西文	xi wen 
课桌椅	ke zhuo yi 
粮食	liang shi 
布告栏	bu gao lan 
幼稚园	you zhi yuan 
亲和力	qin he li 
小岛	xiao dao 
导游	dao you 
塞纳河	sai na he 
主人	zhu ren 
史怀哲	shi huai zhe 
泡汤	pao tang 
人才	ren cai 
约旦河	yue dan he 
空房间	kong fang jian 
陈太太	chen tai tai 
移民	yi min 
污水	wu shui 
大马路	da ma lu 
速食店	su shi dian 
区域	qu yu 
黑手	hei shou 
顺境	shun jing 
黑板	hei ban 
座谈	zuo tan 
交易	jiao yi 
风潮	feng chao 
案例	an li 
奥地利	ao di li 
假话	jia hua 
钟情	zhong qing 
野兽	ye shou 
新鲜空气	xin xian kong qi 
菩萨	pu sa 
百货商店	bai huo shang dian 
设计师	she ji shi 
病者	bing zhe 
宽度	kuan du 
朗朗	lang lang 
刘德华	liu de hua 
赢家	ying jia 
北极冰	bei ji bing 
广开	guang kai 
闹钟	nao zhong 
口袋	kou dai 
台北	tai bei 
苦水	ku shui 
哈博	ha bo 
气息	qi xi 
半径	ban jing 
刮痕	gua hen 
李小姐	li xiao jie 
汽水	qi shui 
吴家	wu jia 
成都	cheng du 
演讲会	yan jiang hui 
外套	wai tao 
纽约	niu yue 
书本	shu ben 
普遍现象	pu bian xian xiang 
日式	ri shi 
心智	xin zhi 
消息	xiao xi 
欧洲区	ou zhou qu 
变数	bian shu 
慈安	ci an 
黄美丽	huang mei li 
上海	shang hai 
中巴	zhong ba 
冷气机	leng qi ji 
报纸	bao zhi 
动静	dong jing 
全世界	quan shi jie 
瑞典人	rui dian ren 
母语	mu yu 
过瘾	guo yin 
店长	dian zhang 
山西	shan xi 
衣柜	yi gui 
主因	zhu yin 
观想	guan xiang 
黑马	hei ma 
清汤	qing tang 
战友	zhan you 
双手	shuang shou 
电子辞典	dian zi ci dian 
好感	hao gan 
公共汽车	gong gong qi che 
家庭	jia ting 
脚印	jiao yin 
停车场	ting che chang 
全校	quan xiao 
西班牙文	xi ban ya wen 
平溪	ping xi 
学生会	xue sheng hui 
辞典	ci dian 
日本式	ri ben shi 
遮阳板	zhe yang ban 
小花	xiao hua 
棕色	zong se 
天空	tian kong 
光辉	guang hui 
啦啦队	la la dui 
市议员	shi yi yuan 
产业	chan ye 
水箱	shui xiang 
迪士尼	di shi ni 
日落	ri luo 
意志力	yi zhi li 
表店	biao dian 
肉片	rou pian 
习惯	xi guan 
广州	guang zhou 
资质	zi zhi 
电视新闻	dian shi xin wen 
天堂	tian tang 
紫外线	zi wai xian 
医药	yi yao 
营业额	ying ye e 
仲介	zhong jie 
澳大利亚	ao da li ya 
泰国	tai guo 
交通	jiao tong 
脑袋	nao dai 
乞丐	qi gai 
特质	te zhi 
雅虎	ya hu 
单位	dan wei 
新进人员	xin jin ren yuan 
天鹅	tian e 
西雅图	xi ya tu 
东南亚	dong nan ya 
课程	ke cheng 
新房子	xin fang zi 
保母	bao mu 
皮肤癌	pi fu ai 
国际学舍	guo ji xue she 
树梢	shu shao 
芝麻油	zhi ma you 
数学老师	shu xue lao shi 
女子	nv zi 
传说	chuan shuo 
塔里	ta li 
歌谱	ge pu 
骗术	pian shu 
下课铃	xia ke ling 
花莲人	hua lian ren 
年龄	nian ling 
太阳眼镜	tai yang yan jing 
工友	gong you 
台南	tai nan 
小游戏	xiao you xi 
待遇	dai yu 
敬佩	jing pei 
市议会	shi yi hui 
特色	te se 
课文	ke wen 
施明德	shi ming de 
天地	tian di 
家园	jia yuan 
哈利波	ha li bo 
概念	gai nian 
风采	feng cai 
孙中山	sun zhong shan 
服务员	fu wu yuan 
马桶	ma tong 
人家	ren jia 
普通	pu tong 
王永庆	wang yong qing 
目标	mu biao 
甜汤	tian tang 
纪录	ji lu 
歹徒	dai tu 
爱因斯坦	ai yin si tan 
寝室	qin shi 
海物	hai wu 
悲剧	bei ju 
雅房	ya fang 
题材	ti cai 
美玲	mei ling 
名胜	ming sheng 
引擎	yin qing 
窗户	chuang hu 
开户	kai hu 
热气	re qi 
喜雀	xi que 
妖怪	yao guai 
气象报告	qi xiang bao gao 
贷款	dai kuan 
光纤	guang xian 
智力	zhi li 
约翰	yue han 
意识	yi shi 
耶稣	ye su 
花费	hua fei 
光阴	guang yin 
餐店	can dian 
警方	jing fang 
点菜	dian cai 
外衣	wai yi 
外交部	wai jiao bu 
官员	guan yuan 
小巷	xiao xiang 
交响曲	jiao xiang qu 
导师	dao shi 
户外活动	hu wai huo dong 
服饰	fu shi 
平民	ping min 
雕刻	diao ke 
发票	fa piao 
第一次世界大战	di yi ci shi jie da zhan 
儿童	er tong 
笨蛋	ben dan 
水资源	shui zi yuan 
邻居们	lin ju men 
洗手间	xi shou jian 
国际交流	guo ji jiao liu 
摊子	tan zi 
漫画书	man hua shu 
保安	bao an 
早饭	zao fan 
白人	bai ren 
家当	jia dang 
航空公司	hang kong gong si 
教会	jiao hui 
外人	wai ren 
下学期	xia xue qi 
大王	dai wang 
角度	jiao du 
写者	xie zhe 
月光	yue guang 
走廊	zou lang 
史迪威	shi di wei 
大明	da ming 
中美关系	zhong mei guan xi 
保险费	bao xian fei 
广东	guang dong 
业务	ye wu 
时侯	shi hou 
宫保鸡	gong bao ji 
畸形儿	ji xing er 
钥匙孔	yao shi kong 
名义	ming yi 
污垢	wu gou 
大众	da zhong 
水电费	shui dian fei 
东京	dong jing 
国家	guo jia 
健身房	jian shen fang 
作业本	zuo ye ben 
同班同学	tong ban tong xue 
普及化	pu ji hua 
费雨嫱	fei yu qiang 
牌子	pai zi 
威尼斯	wei ni si 
林依晨	lin yi chen 
巴拿马	ba na ma 
西班牙	xi ban ya 
口角	kou jue 
三里屯	san li tun 
未婚妻	wei hun qi 
心理准备	xin li zhun bei 
球赛	qiu sai 
电视	dian shi 
医院	yi yuan 
外太空	wai tai kong 
座号	zuo hao 
摩托车	mo tuo che 
心愿	xin yuan 
外籍人士	wai ji ren shi 
纽西兰	niu xi lan 
眼镜	yan jing 
学校	xue xiao 
战利品	zhan li pin 
房屋	fang wu 
小朋友	xiao peng you 
舞姿	wu zi 
大事	da shi 
午饭	wu fan 
忠孝东路	zhong xiao dong lu 
萧美	xiao mei 
考试卷	kao shi juan 
装影机	zhuang ying ji 
大风大浪	da feng da lang 
宠物医院	chong wu yi yuan 
英文	ying wen 
音乐厅	yin yue ting 
樱花	ying hua 
天妇罗	tian fu luo 
无线网	wu xian wang 
经纪人	jing ji ren 
医师	yi shi 
晚安	wan an 
冰岛	bing dao 
世界大战	shi jie da zhan 
影城	ying cheng 
教育费	jiao yu fei 
比方	bi fang 
菜药	cai yao 
传记	zhuan ji 
萝卜	luo bo 
极品	ji pin 
虚拟世界	xu ni shi jie 
植物	zhi wu 
市长	shi zhang 
公交	gong jiao 
隐私权	yin si quan 
摩洛哥	mo luo ge 
正值	zheng zhi 
经济负担	jing ji fu dan 
叶问	ye wen 
长城	chang cheng 
书面	shu mian 
篮板	lan ban 
教材	jiao cai 
男性	nan xing 
动脑筋	dong nao jin 
大学	da xue 
文凭	wen ping 
财产	cai chan 
市中心	shi zhong xin 
天兵	tian bing 
神经病	shen jing bing 
新竹市	xin zhu shi 
百货公司	bai huo gong si 
功能	gong neng 
巴西	ba xi 
国民军	guo min jun 
硬体	ying ti 
天生	tian sheng 
公共交通	gong gong jiao tong 
中华电信	zhong hua dian xin 
手脚	shou jiao 
标志	biao zhi 
泸器	lu qi 
冰店	bing dian 
教学方法	jiao xue fang fa 
玄奘	xuan zang 
演戏	yan xi 
外语学院	wai yu xue yuan 
餐厅	can ting 
的士	di shi 
贡献	gong xian 
以色列	yi se lie 
时数	shi shu 
冷箱	leng xiang 
出生率	chu sheng lv 
扫帚	sao zhou 
项目	xiang mu 
精英	jing ying 
小飞侠	xiao fei xia 
内心	nei xin 
大华	da hua 
民进党	min jin dang 
传授	chuan shou 
悟空	wu kong 
水果皮	shui guo pi 
原则	yuan ze 
美式	mei shi 
座谈会	zuo tan hui 
印尼语	yin ni yu 
永安	yong an 
总经理	zong jing li 
公告栏	gong gao lan 
驱动器	qu dong qi 
人口数量	ren kou shu liang 
饮水思源	yin shui si yuan 
华侨	hua qiao 
武侯	wu hou 
实例	shi li 
阮元	ruan yuan 
汽运	qi yun 
月经	yue jing 
高压电	gao ya dian 
服装店	fu zhuang dian 
知识者	zhi shi zhe 
体积	ti ji 
机票	ji piao 
桌球	zhuo qiu 
敦化	dun hua 
创新能力	chuang xin neng li 
饭菜	fan cai 
毕卡索	bi ka suo 
剧情	ju qing 
全球	quan qiu 
上帝	shang di 
中信	zhong xin 
教学法	jiao xue fa 
市民	shi min 
德明	de ming 
外语	wai yu 
多姿	duo zi 
酒肉朋友	jiu rou peng you 
国画	guo hua 
分表	fen biao 
难题	nan ti 
班级	ban ji 
白马王子	bai ma wang zi 
棉被	mian bei 
技巧	ji qiao 
德文	de wen 
关西	guan xi 
嘴唇	zui chun 
挚爱	zhi ai 
足球场	zu qiu chang 
问候	wen hou 
皱纹	zhou wen 
实验室	shi yan shi 
气象	qi xiang 
聚会	ju hui 
国文	guo wen 
花莲县	hua lian xian 
汉字	han zi 
高龄	gao ling 
音乐学校	yin yue xue xiao 
帽子	mao zi 
中心	zhong xin 
楼顶	lou ding 
眼帘	yan lian 
法国菜	fa guo cai 
句点	ju dian 
正妹	zheng mei 
念头	nian tou 
文化路	wen hua lu 
家具	jia ju 
棒球员	bang qiu yuan 
专案	zhuan an 
酱油	jiang you 
旅游业	lv you ye 
手续费	shou xu fei 
美食家	mei shi jia 
物柜	wu gui 
双床	shuang chuang 
杨赵宁	yang zhao ning 
时刻	shi ke 
学系	xue xi 
生命力	sheng ming li 
机率	ji lv 
百货	bai huo 
脚跟	jiao gen 
历史课	li shi ke 
才子	cai zi 
社会学	she hui xue 
国手	guo shou 
黄立己	huang li ji 
客厅	ke ting 
毒蛇	du she 
徒弟	tu di 
炒年糕	chao nian gao 
吕秀莲	lv xiu lian 
钱柜	qian gui 
海流	hai liu 
龙门	long men 
剑术	jian shu 
经验	jing yan 
河跟园	he gen yuan 
台湾大学	tai wan da xue 
宫崎骏	gong qi jun 
军人	jun ren 
鱼群	yu qun 
苍穹	cang qiong 
主妇	zhu fu 
菲律宾	fei lv bin 
新闻报导	xin wen bao dao 
堂兄弟	tang xiong di 
晚餐	wan can 
亮眼	liang yan 
时光	shi guang 
烧炭	shao tan 
心理	xin li 
扑克牌	pu ke pai 
冲浪板	chong lang ban 
窝心	wo xin 
钻石	zuan shi 
国小	guo xiao 
香港	xiang gang 
纪念品	ji nian pin 
造句	zao ju 
蛋糕	dan gao 
桃红色	tao hong se 
方程式	fang cheng shi 
厨余桶	chu yu tong 
机关	ji guan 
台北人	tai bei ren 
品牌服饰	pin pai fu shi 
乐谱	yue pu 
墨西哥	mo xi ge 
职位	zhi wei 
所有物	suo you wu 
作业员	zuo ye yuan 
英国人	ying guo ren 
大康	da kang 
名言	ming yan 
讲义	jiang yi 
观众	guan zhong 
现代文学	xian dai wen xue 
球队	qiu dui 
劳力	lao li 
小票	xiao piao 
李大伟	li da wei 
省事	sheng shi 
资讯	zi xun 
巴黎	ba li 
会费	hui fei 
枕头	zhen tou 
网速	wang su 
诸葛亮	zhu ge liang 
疗养院	liao yang yuan 
宜兰	yi lan 
本性	ben xing 
明洞	ming dong 
学妹	xue mei 
风雨	feng yu 
笼子	long zi 
海龟	hai gui 
社会科学	she hui ke xue 
校外活动	xiao wai huo dong 
保安员	bao an yuan 
志玲	zhi ling 
班导	ban dao 
琐事	suo shi 
鼎泰丰	ding tai feng 
意志	yi zhi 
海啸	hai xiao 
英语	ying yu 
伟大成就	wei da cheng jiu 
红衣服	hong yi fu 
日本国	ri ben guo 
白色	bai se 
功力	gong li 
永和	yong he 
饺子	jiao zi 
规划	gui hua 
人生目标	ren sheng mu biao 
高歌	gao ge 
卡拉	ka la 
茅坑	mao keng 
赏画	shang hua 
程度	cheng du 
路标	lu biao 
红楼	hong lou 
秋桂	qiu gui 
蜜粉	mi fen 
开场	kai chang 
财政支出	cai zheng zhi chu 
大桥	da qiao 
巨轮	ju lun 
盛情	sheng qing 
原地	yuan di 
人口统计	ren kou tong ji 
胖子	pang zi 
建筑	jian zhu 
病患	bing huan 
产品	chan pin 
唐太宗	tang tai zong 
货币	huo bi 
功课	gong ke 
定义	ding yi 
烤鸡	kao ji 
话题	hua ti 
头发	tou fa 
林小安	lin xiao an 
残叶	can ye 
尼克	ni ke 
祈福	qi fu 
小角色	xiao jiao se 
张湖	zhang hu 
海关	hai guan 
游览车	you lan che 
培根	pei gen 
花束	hua shu 
面包	mian bao 
温室效应	wen shi xiao ying 
城煌	cheng huang 
阿根廷	a gen ting 
印度	yin du 
口香糖	kou xiang tang 
志愿	zhi yuan 
永康	yong kang 
稳定度	wen ding du 
纸条	zhi tiao 
读书	du shu 
胶水	jiao shui 
日本料理	ri ben liao li 
教育界	jiao yu jie 
林志玲	lin zhi ling 
广告	guang gao 
寺庙	si miao 
男子	nan zi 
雨伞	yu san 
老幼	lao you 
关系	guan xi 
旧金山	jiu jin shan 
火箭	huo jian 
马德里	ma de li 
人间仙境	ren jian xian jing 
工作效率	gong zuo xiao lv 
山间	shan jian 
布希	bu xi 
内蒙古	nei meng gu 
三国演义	san guo yan yi 
文教	wen jiao 
景气	jing qi 
信义路	xin yi lu 
现状	xian zhuang 
照片	zhao pian 
作息	zuo xi 
中明	zhong ming 
荷兰文	he lan wen 
模型	mo xing 
科技时代	ke ji shi dai 
小鸟	xiao niao 
原料	yuan liao 
垃圾桶	la ji tong 
名称	ming cheng 
商品	shang pin 
部落	bu luo 
雨鞋	yu xie 
条例	tiao li 
情人	qing ren 
房仲	fang zhong 
李明德	li ming de 
排球	pai qiu 
配角	pei jue 
外籍人	wai ji ren 
联合国	lian he guo 
噪音	zao yin 
邀请卡	yao qing ka 
柯南	ke nan 
气味	qi wei 
负荷	fu he 
医术	yi shu 
号码	hao ma 
乌克兰	wu ke lan 
份子	fen zi 
风纪	feng ji 
便宜货	pian yi huo 
客户	ke hu 
澳门	ao men 
和平西路	he ping xi lu 
美金	mei jin 
新表	xin biao 
便利商店	bian li shang dian 
物件	wu jian 
日语	ri yu 
凉面	liang mian 
独生子女	du sheng zi nv 
个数	ge shu 
农场	nong chang 
颜色	yan se 
裤子	ku zi 
联络簿	lian luo bu 
殿堂	dian tang 
关卡	guan qia 
外长	wai zhang 
潮流	chao liu 
音效	yin xiao 
出厂	chu chang 
芬多	fen duo 
校花	xiao hua 
父亲	fu qin 
防音	fang yin 
年青人	nian qing ren 
臭豆腐	chou dou fu 
太极拳	tai ji quan 
老鼠	lao shu 
场合	chang he 
窗台	chuang tai 
大陆	da lu 
墨尔本	mo er ben 
范围	fan wei 
中毒	zhong du 
荷兰	he lan 
蜘蛛人	zhi zhu ren 
灵山	ling shan 
戏码	xi ma 
院子	yuan zi 
凉意	liang yi 
桌角	zhuo jiao 
热带雨林	re dai yu lin 
作品	zuo pin 
马丁	ma ding 
西洋	xi yang 
录音带	lu yin dai 
林达	lin da 
节奏感	jie zou gan 
住院	zhu yuan 
脾气	pi qi 
前途	qian tu 
日本	ri ben 
大局	da ju 
小事	xiao shi 
男同学	nan tong xue 
救护车	jiu hu che 
演奏家	yan zou jia 
字画	zi hua 
糕点	gao dian 
字眼	zi yan 
飞弹	fei dan 
富士山	fu shi shan 
隧道	sui dao 
小礼堂	xiao li tang 
玄奘大师	xuan zang da shi 
国民党	guo min dang 
信心	xin xin 
高雄明	gao xiong ming 
大餐	da can 
灰色	hui se 
政治	zheng zhi 
低收入	di shou ru 
音乐大师	yin yue da shi 
大楼	da lou 
偶像剧	ou xiang ju 
王家	wang jia 
观点	guan dian 
电厂	dian chang 
心酸	xin suan 
权力	quan li 
博士	bo shi 
杂事	za shi 
凯勒	kai lei 
慕尼黑	mu ni hei 
成语	cheng yu 
林先生	lin xian sheng 
补款	bu kuan 
新衣	xin yi 
品德	pin de 
李陵	li ling 
动物园	dong wu yuan 
俄罗斯	e luo si 
座椅	zuo yi 
花草	hua cao 
美容室	mei rong shi 
身心	shen xin 
酒吧	jiu ba 
妻子	qi zi 
千金	qian jin 
肚子	du zi 
平台	ping tai 
司马迁	si ma qian 
约会	yue hui 
时间	shi jian 
陶渊明	tao yuan ming 
草稿	cao gao 
管弦乐团	guan xian yue tuan 
炸鸡	zha ji 
书法	shu fa 
税金	shui jin 
箱子	xiang zi 
体育课	ti yu ke 
电影片	dian ying pian 
大湖	da hu 
加州	jia zhou 
品牌	pin pai 
好运	hao yun 
暖气	nuan qi 
树枝	shu zhi 
诀窍	jue qiao 
梵谷	fan gu 
南澳	nan ao 
新娘	xin niang 
历史	li shi 
火车	huo che 
杜拜	du bai 
坏习惯	huai xi guan 
高度	gao du 
高龄产妇	gao ling chan fu 
证券公司	zheng quan gong si 
垃圾筒	la ji tong 
结婚年龄	jie hun nian ling 
短片	duan pian 
炉子	lu zi 
水泥	shui ni 
秀英	xiu ying 
福利制度	fu li zhi du 
台币	tai bi 
个子	ge zi 
新闻台	xin wen tai 
泰国人	tai guo ren 
原住民	yuan zhu min 
饼干	bing gan 
叶瓣	ye ban 
地球	di qiu 
馒头	man tou 
名片	ming pian 
李希平	li xi ping 
大坂	da ban 
赵又廷	zhao you ting 
运动场	yun dong chang 
环游世界	huan you shi jie 
排队	pai dui 
公式	gong shi 
周健华	zhou jian hua 
学子	xue zi 
绊脚石	ban jiao shi 
暴风	bao feng 
家政	jia zheng 
狗狗	gou gou 
秘鲁	bi lu 
李安	li an 
蜘蛛	zhi zhu 
大地	da di 
房东太太	fang dong tai tai 
工作量	gong zuo liang 
晚饭	wan fan 
陌生	mo sheng 
起跑点	qi pao dian 
宿舍	su she 
陆生	lu sheng 
眼神	yan shen 
辣味	la wei 
红色	hong se 
信念	xin nian 
生气	sheng qi 
拖把	tuo ba 
地学	di xue 
金字塔	jin zi ta 
松山	song shan 
正路	zheng lu 
沙发	sha fa 
成绩单	cheng ji dan 
机器	ji qi 
黑色	hei se 
海水	hai shui 
偏远地区	pian yuan di qu 
穴道	xue dao 
计划	ji hua 
根源	gen yuan 
郑丰喜	zheng feng xi 
小巷子	xiao xiang zi 
烤鱼	kao yu 
夫妻	fu qi 
声调	sheng diao 
捷克	jie ke 
卡通片	ka tong pian 
画表	hua biao 
事故	shi gu 
景美	jing mei 
洗衣机	xi yi ji 
亚洲	ya zhou 
白酒	bai jiu 
敦化北路	dun hua bei lu 
补习班	bu xi ban 
陌生人	mo sheng ren 
棍子	gun zi 
烧肉	shao rou 
新发明	xin fa ming 
跑腿	pao tui 
艾伦	ai lun 
下雨天	xia yu tian 
科系	ke xi 
米兰队	mi lan dui 
落叶	luo ye 
高速铁路	gao su tie lu 
枝干	zhi gan 
歌手	ge shou 
鲸鲨	jing sha 
主管	zhu guan 
美国大学	mei guo da xue 
警察局	jing cha ju 
泪珠	lei zhu 
外表	wai biao 
理性	li xing 
亚马逊	ya ma xun 
印中	yin zhong 
女孩子	nv hai zi 
语言	yu yan 
越南人	yue nan ren 
目的地	mu di di 
球桌	qiu zhuo 
友人	you ren 
母狮	mu shi 
爱沙尼亚	ai sha ni ya 
别林斯基	bie lin si ji 
衣架	yi jia 
建筑物	jian zhu wu 
基隆	ji long 
步伐	bu fa 
爱情	ai qing 
学位	xue wei 
衣着	yi zhuo 
德蕾	de lei 
明灯	ming deng 
古人	gu ren 
泰式	tai shi 
表妹	biao mei 
旅途	lv tu 
身体	shen ti 
被害人	bei hai ren 
王哲明	wang zhe ming 
色情	se qing 
神医	shen yi 
寒风	han feng 
文德	wen de 
母子情	mu zi qing 
桌子	zhuo zi 
地点	di dian 
病魔	bing mo 
建康	jian kang 
犯人	fan ren 
名誉	ming yu 
凯旋门	kai xuan men 
坏消息	huai xiao xi 
办理	ban li 
税率	shui lv 
名词	ming ci 
陈爱明	chen ai ming 
罗东	luo dong 
筹码	chou ma 
锻带	duan dai 
学士学位	xue shi xue wei 
礼物	li wu 
马英九	ma ying jiu 
论点	lun dian 
游民	you min 
洗澡间	xi zao jian 
芒果	mang guo 
学术	xue shu 
万物	wan wu 
大象	da xiang 
专柜	zhuan gui 
笑话	xiao hua 
体操比赛	ti cao bi sai 
淡水	dan shui 
电脑公司	dian nao gong si 
高铁	gao tie 
围周	wei zhou 
教室	jiao shi 
好客	hao ke 
空气	kong qi 
孩子	hai zi 
十全十美	shi quan shi mei 
报酬率	bao chou lv 
电力	dian li 
名模	ming mo 
居士	ju shi 
棒球	bang qiu 
纹理	wen li 
澎湖	peng hu 
产假	chan jia 
症状	zheng zhuang 
中文	zhong wen 
塑胶	su jiao 
美景	mei jing 
消费者	xiao fei zhe 
瓶罐	ping guan 
泪水	lei shui 
商业	shang ye 
阿华	a hua 
保安人员	bao an ren yuan 
卡通	ka tong 
铁塔	tie ta 
游戏	you xi 
学问	xue wen 
指纹	zhi wen 
德国	de guo 
超级市场	chao ji shi chang 
食物	shi wu 
记忆力	ji yi li 
中学	zhong xue 
污点	wu dian 
古城堡	gu cheng bao 
方大同	fang da tong 
环岛	huan dao 
彩虹	cai hong 
陈先生	chen xian sheng 
距离感	ju li gan 
学业	xue ye 
宁静	ning jing 
书香	shu xiang 
男朋友	nan peng you 
收音机	shou yin ji 
资源	zi yuan 
风景	feng jing 
国语	guo yu 
戏剧	xi ju 
耳塞	er sai 
南丁格尔	nan ding ge er 
善念	shan nian 
小树	xiao shu 
政绩	zheng ji 
表象	biao xiang 
儿话	er hua 
工业革命	gong ye ge ming 
功夫	gong fu 
司机	si ji 
听力	ting li 
敌国	di guo 
班会	ban hui 
誓言	shi yan 
西班牙语	xi ban ya yu 
星星	xing xing 
眼光	yan guang 
佣人	yong ren 
耳边风	er bian feng 
养女	yang nv 
方法	fang fa 
心志	xin zhi 
张卫健	zhang wei jian 
黄山	huang shan 
圣文森	sheng wen sen 
人生道路	ren sheng dao lu 
扇子	shan zi 
代理商	dai li shang 
老套	lao tao 
北京动物园	bei jing dong wu yuan 
巨人	ju ren 
疾病	ji bing 
租税	zu shui 
课室	ke shi 
金句	jin ju 
电视节目	dian shi jie mu 
生物	sheng wu 
渔人	yu ren 
质料	zhi liao 
客房	ke fang 
利益	li yi 
喷泉	pen quan 
全面	quan mian 
运动鞋	yun dong xie 
贝多芬	bei duo fen 
鸟语花香	niao yu hua xiang 
渡边	du bian 
棋盘	qi pan 
监视器	jian shi qi 
极端派	ji duan pai 
李伟	li wei 
梁山伯	liang shan bo 
泡面	pao mian 
鼻子	bi zi 
云朵	yun duo 
气势	qi shi 
血缘	xue yuan 
台湾	tai wan 
国立大学	guo li da xue 
创造性	chuang zao xing 
鬼屋	gui wu 
吉他手	ji ta shou 
黄美真	huang mei zhen 
绰号	chuo hao 
马来西亚	ma lai xi ya 
茶馆	cha guan 
多明尼加	duo ming ni jia 
里弄	li long 
歌剧院	ge ju yuan 
钢琴	gang qin 
补贴	bu tie 
研究所	yan jiu suo 
传奇	chuan qi 
饮料	yin liao 
地铁站	di tie zhan 
桌脚	zhuo jiao 
水煎包	shui jian bao 
误会	wu hui 
大使	da shi 
李台生	li tai sheng 
蔡依林	cai yi lin 
插曲	cha qu 
踏板	ta ban 
姑母	gu mu 
总数	zong shu 
错事	cuo shi 
大学生	da xue sheng 
神灯	shen deng 
阿拉丁	a la ding 
工程师	gong cheng shi 
动手	dong shou 
垃圾	la ji 
午餐	wu can 
文藻	wen zao 
舞会	wu hui 
年糕	nian gao 
名列	ming lie 
小窝	xiao wo 
蜜蜂	mi feng 
空军	kong jun 
涂鸦	tu ya 
双亲	shuang qin 
野猪	ye zhu 
小笼包	xiao long bao 
数字	shu zi 
台中	tai zhong 
信任	xin ren 
名牌	ming pai 
天桥	tian qiao 
公寓	gong yu 
家乐福	jia le fu 
高科技	gao ke ji 
萧邦	xiao bang 
波兰人	bo lan ren 
坏事	huai shi 
加拿大人	jia na da ren 
芬兰人	fen lan ren 
英台	ying tai 
黑炭	hei tan 
伊坂幸	yi ban xing 
真理	zhen li 
柜子	gui zi 
坤山	kun shan 
歌喉	ge hou 
现金	xian jin 
战争	zhan zheng 
价值观	jia zhi guan 
晚婚	wan hun 
总结	zong jie 
