证据	zheng ju 
民主	min zhu 
安理会	an li hui 
援引	yuan yin 
合法性	he fa xing 
规章	gui zhang 
让步	rang bu 
自首	zi shou 
侵犯	qin fan 
可以	ke yi 
民事法律	min shi fa lv 
补充侦查	bu chong zhen cha 
出庭作证	chu ting zuo zheng 
进入	jin ru 
国家	guo jia 
网上	wang shang 
方式	fang shi 
百分之八	bai fen zhi ba 
规定	gui ding 
仿效	fang xiao 
客运	ke yun 
支出	zhi chu 
国际法院	guo ji fa yuan 
独立	du li 
国际货物	guo ji huo wu 
根本	gen ben 
中央军委	zhong yang jun wei 
决定	jue ding 
裁决	cai jue 
自治机关	zi zhi ji guan 
下级	xia ji 
民事诉讼	min shi su song 
专利权	zhuan li quan 
被申请人	bei shen qing ren 
履行	lv xing 
垄断	long duan 
构建	gou jian 
促进	cu jin 
作出	zuo chu 
委员会	wei yuan hui 
联系	lian xi 
质量标准	zhi liang biao zhun 
付款人	fu kuan ren 
金融债券	jin rong zhai quan 
无偿	wu chang 
辩论	bian lun 
司法权	si fa quan 
人民政府	ren min zheng fu 
仲裁庭	zhong cai ting 
正在	zheng zai 
直辖市	zhi xia shi 
改变	gai bian 
申请	shen qing 
全国人民代表大会	quan guo ren min dai biao da hui 
愿意	yuan yi 
选项	xuan xiang 
仲裁	zhong cai 
碰撞	peng zhuang 
经济法	jing ji fa 
准据法	zhun ju fa 
辩护	bian hu 
英国	ying guo 
公司法	gong si fa 
领土	ling tu 
进行	jin xing 
过渡性	guo du xing 
时余刑	shi yu xing 
专用发票	zhuan yong fa piao 
明朝	ming chao 
产品	chan pin 
特殊	te shu 
具体	ju ti 
期间	qi jian 
每日	mei ri 
保全	bao quan 
投资人	tou zi ren 
法庭	fa ting 
情节严重	qing jie yan zhong 
法国	fa guo 
法规	fa gui 
人民代表大会常务委员会	ren min dai biao da hui chang wu wei yuan hui 
封建	feng jian 
法人	fa ren 
共同	gong tong 
队伍	dui wu 
自治州	zi zhi zhou 
租赁	zu lin 
基本权利	ji ben quan li 
开皇	kai huang 
召集	zhao ji 
自由	zi you 
略低于	lve di yu 
律师	lv shi 
法律责任	fa lv ze ren 
授权	shou quan 
解释	jie shi 
世界贸易组织	shi jie mao yi zu zhi 
地方性	di fang xing 
同意	tong yi 
经济	jing ji 
特别	te bie 
自治	zi zhi 
人民代表大会	ren min dai biao da hui 
生效	sheng xiao 
自治区	zi zhi qu 
政府	zheng fu 
德国	de guo 
冲突	chong tu 
刑法	xing fa 
融资	rong zi 
担保	dan bao 
形态	xing tai 
诉讼	su song 
定罪	ding zui 
民事	min shi 
开始	kai shi 
上级法院	shang ji fa yuan 
支票	zhi piao 
债券	zhai quan 
党的领导	dang de ling dao 
录像	lu xiang 
选区	xuan qu 
采性	cai xing 
行政复议	xing zheng fu yi 
当然	dang ran 
最高人民检察院	zui gao ren min jian cha yuan 
委托书	wei tuo shu 
民事责任	min shi ze ren 
副检察长	fu jian cha zhang 
立法法	li fa fa 
公共卫生	gong gong wei sheng 
补充	bu chong 
设立	she li 
要求	yao qiu 
刑事责任	xing shi ze ren 
剥夺	bo duo 
取消	qu xiao 
成为	cheng wei 
财团法人	cai tuan fa ren 
行为人	xing wei ren 
习惯	xi guan 
指令	zhi ling 
接受	jie shou 
不能	bu neng 
处罚金	chu fa jin 
提出	ti chu 
成员	cheng yuan 
限制	xian zhi 
董事	dong shi 
简易程序	jian yi cheng xu 
公海	gong hai 
北洋政府	bei yang zheng fu 
适用	shi yong 
熟悉	shu xi 
录音	lu yin 
转移	zhuan yi 
未成年	wei cheng nian 
法律效力	fa lv xiao li 
没有	mei you 
法律制裁	fa lv zhi cai 
受理	shou li 
哪一	na yi 
公共利益	gong gong li yi 
缔结	di jie 
自治权	zi zhi quan 
取得	qu de 
保护	bao hu 
公示	gong shi 
职能	zhi neng 
权利能力	quan li neng li 
法定年龄	fa ding nian ling 
配偶	pei ou 
存款	cun kuan 
继续执行	ji xu zhi xing 
污染	wu ran 
武装力量	wu zhuang li liang 
破产	po chan 
民法	min fa 
延迟	yan chi 
刚正不阿	gang zheng bu e 
歧视	qi shi 
推理	tui li 
不服	bu fu 
组织者	zu zhi zhe 
另行通知	ling xing tong zhi 
计算机程序	ji suan ji cheng xu 
宪法	xian fa 
退回	tui hui 
公安部队	gong an bu dui 
公款	gong kuan 
确定	que ding 
同类产品	tong lei chan pin 
对于	dui yu 
行政	xing zheng 
选举	xuan ju 
付款	fu kuan 
解除合同	jie chu he tong 
债务人	zhai wu ren 
假药	jia yao 
签章	qian zhang 
证明	zheng ming 
本案	ben an 
自诉人	zi su ren 
第二审	di er shen 
止付	zhi fu 
委托	wei tuo 
海洋法	hai yang fa 
行政处罚	xing zheng chu fa 
变更	bian geng 
原件	yuan jian 
已经	yi jing 
行政法	xing zheng fa 
执行	zhi xing 
正确	zheng que 
贷款	dai kuan 
拆除	chai chu 
货物	huo wu 
前提	qian ti 
交货	jiao huo 
判决	pan jue 
英美法	ying mei fa 
裁定	cai ding 
如何	ru he 
商业银行	shang ye yin hang 
相符	xiang fu 
债权人	zhai quan ren 
赌博	du bo 
制度	zhi du 
认缴	ren jiao 
人数	ren shu 
村民	cun min 
回避	hui bi 
见证人	jian zheng ren 
国家机关	guo jia ji guan 
调整	tiao zheng 
健康	jian kang 
内容	nei rong 
香港特别行政区	xiang gang te bie xing zheng qu 
非法经营	fei fa jing ying 
侦查	zhen cha 
机构	ji gou 
地方	di fang 
陪审员	pei shen yuan 
审查起诉	shen cha qi su 
哪项	na xiang 
祖国统一	zu guo tong yi 
房地产	fang di chan 
运费	yun fei 
卸货	xie huo 
归纳推理	gui na tui li 
保卫	bao wei 
局限性	ju xian xing 
批准权	pi zhun quan 
罢免	ba mian 
候选人	hou xuan ren 
职业道德	zhi ye dao de 
放弃	fang qi 
死亡	si wang 
会议	hui yi 
监督	jian du 
明确	ming que 
行为	xing wei 
体系	ti xi 
参加	can jia 
催告	cui gao 
牵连	qian lian 
削减	xue jian 
