各省	ge sheng 
确诊	que zhen 
开支	kai zhi 
长春	chang chun 
调查过程	diao cha guo cheng 
分行业	fen hang ye 
中国红十字会总会	zhong guo hong shi zi hui zong hui 
副站长	fu zhan zhang 
专员	zhuan yuan 
情节	qing jie 
程序执行	cheng xu zhi xing 
担负起	dan fu qi 
办事处	ban shi chu 
严重危害	yan zhong wei hai 
严重后果	yan zhong hou guo 
镇海	zhen hai 
案件线索	an jian xian suo 
餐具	can ju 
求助	qiu zhu 
知道	zhi dao 
定点医院	ding dian yi yuan 
常委	chang wei 
受试者	shou shi zhe 
青岛	qing dao 
十年	shi nian 
作业	zuo ye 
局及	ju ji 
红原县	hong yuan xian 
天堂	tian tang 
工作进展	gong zuo jin zhan 
因故	yin gu 
广覆盖	guang fu gai 
大数据	da shu ju 
惠企	hui qi 
财政部	cai zheng bu 
中央经济工作会议	zhong yang jing ji gong zuo hui yi 
金融科技	jin rong ke ji 
监督	jian du 
产供	chan gong 
顺序排列	shun xu pai lie 
专题学习	zhuan ti xue xi 
责任	ze ren 
海区	hai qu 
船用	chuan yong 
深入人心	shen ru ren xin 
广泛	guang fan 
实施办法	shi shi ban fa 
情绪	qing xu 
死亡率	si wang lv 
塔什库尔干塔吉克自治县	ta shen ku er gan ta ji ke zi zhi xian 
交通运输	jiao tong yun shu 
船舶	chuan bo 
潍坊	wei fang 
新型产业	xin xing chan ye 
疗养	liao yang 
成品油	cheng pin you 
长沙	chang sha 
宪法	xian fa 
观察	guan cha 
生态旅游	sheng tai lv you 
环境	huan jing 
步骤	bu zhou 
二线	er xian 
前锋	qian feng 
罚金	fa jin 
结清	jie qing 
党风廉政建设	dang feng lian zheng jian she 
国民经济	guo min jing ji 
完善	wan shan 
权力	quan li 
光彩	guang cai 
民办	min ban 
建库	jian ku 
大气污染	da qi wu ran 
新品种	xin pin zhong 
威海	wei hai 
动能	dong neng 
享乐主义	xiang le zhu yi 
集装	ji zhuang 
适应能力	shi ying neng li 
信用贷款	xin yong dai kuan 
预算法	yu suan fa 
天津医科大学	tian jin yi ke da xue 
犯罪	fan zui 
三项	san xiang 
警察	jing cha 
有害生物	you hai sheng wu 
检索	jian suo 
示范区	shi fan qu 
十三	shi san 
改由	gai you 
报关	bao guan 
室内	shi nei 
应付	ying fu 
责任制	ze ren zhi 
物资部	wu zi bu 
反腐败	fan fu bai 
上解	shang jie 
煤炭企业	mei tan qi ye 
外事	wai shi 
可行性	ke xing xing 
固体废物	gu ti fei wu 
血吸虫病	xue xi chong bing 
以人为本	yi ren wei ben 
基础理论	ji chu li lun 
关系	guan xi 
马庄桥	ma zhuang qiao 
哈尔滨工业大学	ha er bin gong ye da xue 
指导价	zhi dao jia 
爱国	ai guo 
面临	mian lin 
濮阳县	pu yang xian 
互联网安全	hu lian wang an quan 
企业债券	qi ye zhai quan 
淮河流域	huai he liu yu 
文化产业	wen hua chan ye 
用工	yong gong 
临沧市	lin cang shi 
进口	jin kou 
资格	zi ge 
改为	gai wei 
实训	shi xun 
开展业务	kai zhan ye wu 
娱乐	yu le 
争取	zheng qu 
统筹规划	tong chou gui hua 
绿色金融	lv se jin rong 
抚顺市	fu shun shi 
城市管理	cheng shi guan li 
各部	ge bu 
衡阳市	heng yang shi 
红寺堡	hong si bao 
病原	bing yuan 
察看	cha kan 
地名	di ming 
强制执行	qiang zhi zhi xing 
仓储	cang chu 
帮助	bang zhu 
爱心	ai xin 
体面	ti mian 
电子邮箱	dian zi you xiang 
选派	xuan pai 
第二阶段	di er jie duan 
农村基层	nong cun ji ceng 
停业整顿	ting ye zheng dun 
经开	jing kai 
简单	jian dan 
国药	guo yao 
大道	da dao 
救援飞机	jiu yuan fei ji 
毕业	bi ye 
打包	da bao 
群众性	qun zhong xing 
拉票	la piao 
组织关系	zu zhi guan xi 
公司法	gong si fa 
平谷区	ping gu qu 
企业	qi ye 
英才	ying cai 
统一行动	tong yi xing dong 
害虫	hai chong 
济源	ji yuan 
过硬	guo ying 
第三产业	di san chan ye 
国计民生	guo ji min sheng 
两区	liang qu 
用车	yong che 
清晰	qing xi 
处置	chu zhi 
无缝	wu feng 
及时发现	ji shi fa xian 
南部	nan bu 
交通事故	jiao tong shi gu 
回溯	hui su 
以良法	yi liang fa 
惠民	hui min 
放在	fang zai 
中华人民共和国香港特别行政区	zhong hua ren min gong he guo xiang gang te bie xing zheng qu 
言论	yan lun 
叶家	ye jia 
第一年	di yi nian 
行政处罚	xing zheng chu fa 
还款	hai kuan 
一国两制	yi guo liang zhi 
增强	zeng qiang 
工龄	gong ling 
试点工作	shi dian gong zuo 
深入开展	shen ru kai zhan 
确立	que li 
长宁区	zhang ning qu 
附着物	fu zhuo wu 
案卷	an juan 
取得	qu de 
古浪县	gu lang xian 
光学	guang xue 
开拓进取	kai tuo jin qu 
中华全国总工会	zhong hua quan guo zong gong hui 
协助	xie zhu 
资源税	zi yuan shui 
根本利益	gen ben li yi 
医疗机构	yi liao ji gou 
有必要	you bi yao 
清楚	qing chu 
硕士	shuo shi 
计划单列市	ji hua dan lie shi 
对外	dui wai 
部等	bu deng 
国家科委	guo jia ke wei 
实名制	shi ming zhi 
城区	cheng qu 
不正当	bu zheng dang 
农村土地	nong cun tu di 
演进	yan jin 
相当	xiang dang 
新片区	xin pian qu 
初创期	chu chuang qi 
支点	zhi dian 
互救	hu jiu 
龙山镇	long shan zhen 
荆门市	jing men shi 
民营经济	min ying jing ji 
增派	zeng pai 
不便	bu bian 
护士	hu shi 
一票	yi piao 
铸牢	zhu lao 
项目部	xiang mu bu 
贯彻	guan che 
中国化	zhong guo hua 
创业板	chuang ye ban 
防范	fang fan 
履行义务	lv xing yi wu 
救济	jiu ji 
主要矛盾	zhu yao mao dun 
可办	ke ban 
保全	bao quan 
民族语言	min zu yu yan 
主任科员	zhu ren ke yuan 
第七条	di qi tiao 
事态	shi tai 
太康县	tai kang xian 
双龙	shuang long 
精心组织	jing xin zu zhi 
土地权属	tu di quan shu 
税则	shui ze 
实质性	shi zhi xing 
应诉	ying su 
缺陷	que xian 
单项	dan xiang 
第一个	di yi ge 
引领	yin ling 
定级	ding ji 
壮大	zhuang da 
财政投入	cai zheng tou ru 
建造	jian zao 
泸州市	lu zhou shi 
第三十一条	di san shi yi tiao 
年度计划	nian du ji hua 
一是	yi shi 
大余县	da yu xian 
持有人	chi you ren 
高频	gao pin 
度假区	du jia qu 
上来	shang lai 
认定为	ren ding wei 
就医	jiu yi 
一百年	yi bai nian 
重庆市委	chong qing shi wei 
动摇	dong yao 
骨干分子	gu gan fen zi 
第二十四条	di er shi si tiao 
个案	ge an 
分队	fen dui 
示范	shi fan 
小微企业	xiao wei qi ye 
成功	cheng gong 
忻州市	xin zhou shi 
沿边	yan bian 
个省	ge sheng 
收寄	shou ji 
评聘	ping pin 
动物	dong wu 
第三十二条	di san shi er tiao 
空间性	kong jian xing 
说明	shuo ming 
高风险	gao feng xian 
大力	da li 
龙头企业	long tou qi ye 
电信	dian xin 
但是	dan shi 
当好	dang hao 
农办	nong ban 
一把手	yi ba shou 
能源供应	neng yuan gong ying 
请示	qing shi 
额度	e du 
中韩	zhong han 
流转	liu zhuan 
国内外	guo nei wai 
规律	gui lv 
有责	you ze 
长三角	zhang san jiao 
土地管理法	tu di guan li fa 
一时	yi shi 
放管	fang guan 
产销	chan xiao 
交易规则	jiao yi gui ze 
仿制药	fang zhi yao 
汇入	hui ru 
早期	zao qi 
大校	da xiao 
保质期	bao zhi qi 
饲草料	si cao liao 
时向	shi xiang 
八项	ba xiang 
加挂	jia gua 
兼容	jian rong 
日用	ri yong 
相互配合	xiang hu pei he 
郴州市	chen zhou shi 
巴彦	ba yan 
城市群	cheng shi qun 
征信	zheng xin 
食盐	shi yan 
任职	ren zhi 
认可度	ren ke du 
供电局	gong dian ju 
惩处	cheng chu 
引进人才	yin jin ren cai 
审理	shen li 
出去	chu qu 
表征	biao zheng 
主业	zhu ye 
某个	mou ge 
应税	ying shui 
立法会	li fa hui 
特惠	te hui 
放行	fang xing 
化学工业	hua xue gong ye 
用活	yong huo 
山东大学	shan dong da xue 
基本法	ji ben fa 
领导职务	ling dao zhi wu 
发表	fa biao 
广西壮族自治区人民政府	guang xi zhuang zu zi zhi qu ren min zheng fu 
通知精神	tong zhi jing shen 
单县	dan xian 
肺病	fei bing 
打印	da yin 
建工	jian gong 
职业资格	zhi ye zi ge 
损坏	sun huai 
上海浦东新区	shang hai pu dong xin qu 
操纵	cao zong 
身份证明	shen fen zheng ming 
建立	jian li 
保险公司	bao xian gong si 
拓宽	tuo kuan 
抓实	zhua shi 
金融	jin rong 
事业部	shi ye bu 
请假	qing jia 
地质	di zhi 
向阳	xiang yang 
为指导	wei zhi dao 
锐意	rui yi 
技术类	ji shu lei 
竞相	jing xiang 
凡属	fan shu 
直通	zhi tong 
密切联系	mi qie lian xi 
入乡	ru xiang 
三江	san jiang 
亚洲	ya zhou 
站点	zhan dian 
新华	xin hua 
罗城仫佬族自治县	luo cheng mu lao zu zi zhi xian 
书面	shu mian 
运行状况	yun xing zhuang kuang 
就业机会	jiu ye ji hui 
减损	jian sun 
创意	chuang yi 
大规模	da gui mo 
江口县	jiang kou xian 
保卫	bao wei 
健康状况	jian kang zhuang kuang 
审计局	shen ji ju 
药剂	yao ji 
永州市	yong zhou shi 
正确	zheng que 
约束力	yue shu li 
阜新蒙古族自治县	fu xin meng gu zu zi zhi xian 
癌症	ai zheng 
风险评估	feng xian ping gu 
外商	wai shang 
周边	zhou bian 
奖惩	jiang cheng 
监督制约	jian du zhi yue 
主线	zhu xian 
包装物	bao zhuang wu 
第二条	di er tiao 
需求	xu qiu 
报考	bao kao 
指挥中心	zhi hui zhong xin 
听取意见	ting qu yi jian 
江夏区	jiang xia qu 
一贯	yi guan 
输水	shu shui 
稳中求进	wen zhong qiu jin 
副理事长	fu li shi zhang 
研讨	yan tao 
供销社	gong xiao she 
印证	yin zheng 
优于	you yu 
发电设备	fa dian she bei 
纵容	zong rong 
过程	guo cheng 
着力点	zhuo li dian 
同心县	tong xin xian 
股东大会	gu dong da hui 
克扣	ke kou 
收费公路	shou fei gong lu 
损害赔偿	sun hai pei chang 
降低成本	jiang di cheng ben 
护士长	hu shi zhang 
文教	wen jiao 
在思想上	zai si xiang shang 
高等级	gao deng ji 
按时	an shi 
分区	fen qu 
报建	bao jian 
按证	an zheng 
聘任	pin ren 
机构名称	ji gou ming cheng 
力克	li ke 
干部人事	gan bu ren shi 
市委书记	shi wei shu ji 
千万	qian wan 
清除	qing chu 
中等	zhong deng 
品牌化	pin pai hua 
第三	di san 
组成员	zu cheng yuan 
移交	yi jiao 
浙江省	zhe jiang sheng 
职业	zhi ye 
湖北省	hu bei sheng 
下级单位	xia ji dan wei 
反应	fan ying 
形态	xing tai 
外部	wai bu 
减量化	jian liang hua 
委和	wei he 
路线方针	lu xian fang zhen 
辍学	chuo xue 
电子政务	dian zi zheng wu 
中药	zhong yao 
西吉县	xi ji xian 
国家药品监督管理局	guo jia yao pin jian du guan li ju 
人才资源	ren cai zi yuan 
理想	li xiang 
一个月	yi ge yue 
馆藏	guan cang 
上海市	shang hai shi 
车间	che jian 
情况汇报	qing kuang hui bao 
肺科	fei ke 
宣告	xuan gao 
元旦	yuan dan 
致残	zhi can 
石柱土家族自治县	shi zhu tu jia zu zi zhi xian 
改扩建	gai kuo jian 
湿度	shi du 
下半旗	xia ban qi 
姓名	xing ming 
在改革中	zai gai ge zhong 
芯片	xin pian 
代替	dai ti 
鼓励	gu li 
后期	hou qi 
第三师	di san shi 
施工现场	shi gong xian chang 
事业性	shi ye xing 
切实落实	qie shi luo shi 
党总支	dang zong zhi 
兑付	dui fu 
治病救人	zhi bing jiu ren 
参照	can zhao 
边远	bian yuan 
高峰	gao feng 
相符	xiang fu 
凝聚	ning ju 
相互支持	xiang hu zhi chi 
三分之二	san fen zhi er 
系列	xi lie 
计生	ji sheng 
基本路线	ji ben lu xian 
改则县	gai ze xian 
分工协作	fen gong xie zuo 
入党	ru dang 
地信局	di xin ju 
自办	zi ban 
挂网	gua wang 
一等	yi deng 
自由贸易	zi you mao yi 
非政府	fei zheng fu 
龙江	long jiang 
身份证	shen fen zheng 
国家机构改革方案	guo jia ji gou gai ge fang an 
遂行	sui xing 
济源市	ji yuan shi 
广交	guang jiao 
入账	ru zhang 
条件	tiao jian 
装潢	zhuang huang 
少将	shao jiang 
新模式	xin mo shi 
中山大学	zhong shan da xue 
列席	lie xi 
直属机关	zhi shu ji guan 
全体	quan ti 
份额	fen e 
局原	ju yuan 
配齐	pei qi 
控制力	kong zhi li 
传销	chuan xiao 
副总理	fu zong li 
瓦斯	wa si 
灌溉	guan gai 
经理	jing li 
化肥	hua fei 
石渠县	shi qu xian 
公务员	gong wu yuan 
简政放权	jian zheng fang quan 
金阳县	jin yang xian 
脉络	mai luo 
明察暗访	ming cha an fang 
粮油	liang you 
核算	he suan 
丧失	sang shi 
缴入	jiao ru 
节能	jie neng 
越级	yue ji 
麦积区	mai ji qu 
务实	wu shi 
能源行业	neng yuan hang ye 
第十三届	di shi san jie 
发函	fa han 
国家安全部	guo jia an quan bu 
局部利益	ju bu li yi 
少先队	shao xian dui 
一端	yi duan 
镇西	zhen xi 
各地区	ge di qu 
征求	zheng qiu 
适当	shi dang 
结构性	jie gou xing 
足额	zu e 
试验报告	shi yan bao gao 
石窟寺	shi ku si 
畲族	she zu 
纲要	gang yao 
互换	hu huan 
编译局	bian yi ju 
邓小平理论	deng xiao ping li lun 
多样性	duo yang xing 
房间	fang jian 
贫困家庭	pin kun jia ting 
甘于	gan yu 
干净	gan jing 
研究成果	yan jiu cheng guo 
南昌	nan chang 
势力	shi li 
工作作风	gong zuo zuo feng 
天内	tian nei 
优抚	you fu 
市镇	shi zhen 
肺结核	fei jie he 
缺水	que shui 
较长	jiao zhang 
基调	ji diao 
索要	suo yao 
事前	shi qian 
震慑	zhen she 
集成电路	ji cheng dian lu 
划拨	hua bo 
启封	qi feng 
宾馆	bin guan 
研修	yan xiu 
军事科学院	jun shi ke xue yuan 
乡级	xiang ji 
样式	yang shi 
丽江	li jiang 
国家粮食局	guo jia liang shi ju 
企业破产	qi ye po chan 
纪念日	ji nian ri 
河池市	he chi shi 
期中	qi zhong 
意见书	yi jian shu 
中华文化	zhong hua wen hua 
要素	yao su 
彭水苗族土家族自治县	peng shui miao zu tu jia zu zi zhi xian 
一般	yi ban 
骨干企业	gu gan qi ye 
民办教育	min ban jiao yu 
汕头经济特区	shan tou jing ji te qu 
联络员	lian luo yuan 
培养	pei yang 
科研院所	ke yan yuan suo 
天使	tian shi 
许昌市	xu chang shi 
高标准	gao biao zhun 
入境	ru jing 
苏州市	su zhou shi 
养成	yang cheng 
盐城市	yan cheng shi 
接口	jie kou 
治沙	zhi sha 
有线电视	you xian dian shi 
型号	xing hao 
刑法	xing fa 
顿珠	dun zhu 
技术装备	ji shu zhuang bei 
结构	jie gou 
舆论导向	yu lun dao xiang 
国企	guo qi 
草原局	cao yuan ju 
店镇	dian zhen 
宁夏	ning xia 
内外	nei wai 
聚力	ju li 
旅游者	lv you zhe 
手中	shou zhong 
依照	yi zhao 
医学教育	yi xue jiao yu 
废物	fei wu 
党员队伍	dang yuan dui wu 
白马	bai ma 
第十四届	di shi si jie 
投诉	tou su 
株洲市	zhu zhou shi 
工会	gong hui 
正面	zheng mian 
全面进步	quan mian jin bu 
重心	zhong xin 
收养	shou yang 
语音	yu yin 
特色化	te se hua 
跑道	pao dao 
高污染	gao wu ran 
该项	gai xiang 
洪山区	hong shan qu 
各部门	ge bu men 
募集	mu ji 
讯问	xun wen 
防洪	fang hong 
妇产科	fu chan ke 
毕节市	bi jie shi 
生效	sheng xiao 
入区	ru qu 
畜牧	xu mu 
宗旨	zong zhi 
逃税	tao shui 
盈利	ying li 
旅游业	lv you ye 
珠海	zhu hai 
侧重于	ce zhong yu 
倾斜	qing xie 
谋求	mou qiu 
并行	bing xing 
下拨	xia bo 
基层工作	ji ceng gong zuo 
主管护	zhu guan hu 
环评	huan ping 
群体	qun ti 
虽然	sui ran 
多边贸易	duo bian mao yi 
状况	zhuang kuang 
全国政协	quan guo zheng xie 
同标	tong biao 
首都机场	shou du ji chang 
佩带	pei dai 
天然气	tian ran qi 
水流	shui liu 
现行标准	xian xing biao zhun 
初加工	chu jia gong 
大连市	da lian shi 
年轻干部	nian qing gan bu 
教育费	jiao yu fei 
森林资源	sen lin zi yuan 
跨行	kua xing 
赡养	shan yang 
保护	bao hu 
三至	san zhi 
管理层	guan li ceng 
投入	tou ru 
构成犯罪	gou cheng fan zui 
因地制宜	yin di zhi yi 
违反规定	wei fan gui ding 
遗留	yi liu 
交通警察	jiao tong jing cha 
形式主义	xing shi zhu yi 
政协委员	zheng xie wei yuan 
上岗	shang gang 
着重	zhuo zhong 
一样	yi yang 
港澳办	gang ao ban 
沿海经济	yan hai jing ji 
呼吸道	hu xi dao 
人民日报社	ren min ri bao she 
国务院扶贫办	guo wu yuan fu pin ban 
四风	si feng 
进出口银行	jin chu kou yin hang 
安居乐业	an ju le ye 
设计变更	she ji bian geng 
联控	lian kong 
划转	hua zhuan 
价值观	jia zhi guan 
照料	zhao liao 
渭南市	wei nan shi 
本条	ben tiao 
吸取	xi qu 
草畜	cao chu 
公司	gong si 
公序良	gong xu liang 
关长	guan zhang 
共谋	gong mou 
截留	jie liu 
科研成果	ke yan cheng guo 
论坛	lun tan 
大桥	da qiao 
新兴产业	xin xing chan ye 
副科长	fu ke zhang 
公安	gong an 
抢占	qiang zhan 
吸纳	xi na 
北路	bei lu 
政治委员	zheng zhi wei yuan 
镇北	zhen bei 
全科	quan ke 
兴农	xing nong 
惩罚性赔偿	cheng fa xing pei chang 
代管	dai guan 
伊春市	yi chun shi 
市场供应	shi chang gong ying 
自营	zi ying 
反馈	fan kui 
严肃性	yan su xing 
中央统战部	zhong yang tong zhan bu 
代办	dai ban 
漠河	mo he 
工资福利	gong zi fu li 
渭源县	wei yuan xian 
矛盾	mao dun 
协调会议	xie tiao hui yi 
七级	qi ji 
换届	huan jie 
去世	qu shi 
一网	yi wang 
九江	jiu jiang 
帮扶	bang fu 
六个月	liu ge yue 
科技园区	ke ji yuan qu 
褒扬	bao yang 
董事局	dong shi ju 
第八项	di ba xiang 
地产	di chan 
师职	shi zhi 
村委会	cun wei hui 
有益	you yi 
矿产品	kuang chan pin 
技术职称	ji shu zhi cheng 
海外仓	hai wai cang 
中日韩	zhong ri han 
专家组	zhuan jia zu 
公立	gong li 
立场	li chang 
沙化	sha hua 
落地生根	luo di sheng gen 
谈心	tan xin 
推动	tui dong 
挂职	gua zhi 
供销	gong xiao 
管理制度	guan li zhi du 
非常规	fei chang gui 
政法委	zheng fa wei 
异议	yi yi 
沼气	zhao qi 
水务	shui wu 
机位	ji wei 
白山市	bai shan shi 
转型	zhuan xing 
合作开发	he zuo kai fa 
春耕生产	chun geng sheng chan 
台湾	tai wan 
利益输送	li yi shu song 
保卫工作	bao wei gong zuo 
民情	min qing 
制定	zhi ding 
优秀	you xiu 
统防	tong fang 
判断	pan duan 
人事处	ren shi chu 
智能家居	zhi neng jia ju 
李家	li jia 
节约粮食	jie yue liang shi 
清政府	qing zheng fu 
滞留	zhi liu 
生态化	sheng tai hua 
国家计委	guo jia ji wei 
第四次	di si ci 
服务水平	fu wu shui ping 
黄山	huang shan 
外国人	wai guo ren 
安置工作	an zhi gong zuo 
海淀区	hai dian qu 
四省	si sheng 
强弱项	qiang ruo xiang 
国务院妇儿工委办公室	guo wu yuan fu er gong wei ban gong shi 
长春市	chang chun shi 
人民代表大会	ren min dai biao da hui 
佛山市	fo shan shi 
身体状况	shen ti zhuang kuang 
原则同意	yuan ze tong yi 
临床医学	lin chuang yi xue 
杠杆率	gang gan lv 
户籍	hu ji 
系数	xi shu 
工商联	gong shang lian 
节奏	jie zou 
对称	dui chen 
对抗	dui kang 
上海港	shang hai gang 
总局局长	zong ju ju zhang 
现役军人	xian yi jun ren 
管服	guan fu 
银行	yin hang 
展望	zhan wang 
爱国卫生	ai guo wei sheng 
贫困人口	pin kun ren kou 
赋予	fu yu 
一部	yi bu 
无形资产	wu xing zi chan 
价格	jia ge 
江汉区	jiang han qu 
责任人	ze ren ren 
党纪政纪	dang ji zheng ji 
优先股	you xian gu 
市场价格	shi chang jia ge 
用好	yong hao 
封锁	feng suo 
龙州县	long zhou xian 
上年	shang nian 
姓氏笔画	xing shi bi hua 
追诉	zhui su 
提高质量	ti gao zhi liang 
禁牧	jin mu 
社情民意	she qing min yi 
海上运输	hai shang yun shu 
教育改革	jiao yu gai ge 
考核办法	kao he ban fa 
次年	ci nian 
表扬	biao yang 
党的基本	dang de ji ben 
父母	fu mu 
湘西土家族苗族自治州	xiang xi tu jia zu miao zu zi zhi zhou 
重点	zhong dian 
稳妥	wen tuo 
污水	wu shui 
简报	jian bao 
屠宰厂	tu zai chang 
第二卷	di er juan 
丹东	dan dong 
不称职	bu chen zhi 
免疫	mian yi 
突出	tu chu 
长制	zhang zhi 
典型	dian xing 
线下	xian xia 
过错	guo cuo 
沧州市	cang zhou shi 
海运	hai yun 
议定	yi ding 
余额	yu e 
党刊	dang kan 
计划	ji hua 
处处	chu chu 
国民待遇	guo min dai yu 
文体	wen ti 
有效成分	you xiao cheng fen 
投标	tou biao 
无力	wu li 
规章	gui zhang 
驻华	zhu hua 
各级人民政府	ge ji ren min zheng fu 
产品开发	chan pin kai fa 
生命线	sheng ming xian 
十分	shi fen 
聘用制	pin yong zhi 
畜产品	xu chan pin 
十六	shi liu 
融合	rong he 
整体	zheng ti 
托底	tuo di 
机械	ji xie 
机电	ji dian 
先试	xian shi 
采购	cai gou 
保密局	bao mi ju 
更名	geng ming 
平等待遇	ping deng dai yu 
财政补贴	cai zheng bu tie 
宣扬	xuan yang 
标本兼治	biao ben jian zhi 
占用费	zhan yong fei 
采矿	cai kuang 
淮河	huai he 
法律文书	fa lv wen shu 
各单位	ge dan wei 
行文	xing wen 
首选	shou xuan 
运输	yun shu 
各项措施	ge xiang cuo shi 
强调	qiang diao 
规划期	gui hua qi 
亚足联	ya zu lian 
交换	jiao huan 
专业队伍	zhuan ye dui wu 
商品粮	shang pin liang 
三会	san hui 
紧密团结	jin mi tuan jie 
